compound,rmsc,reuc,rpcc,rscc
C100005,0.982248379185617,0.9824812704405712,0.9899671920871713,0.9981371274497715
C100016,0.8154749831970521,0.8375721952075039,0.8860634005614615,0.9931050044835116
C100027,0.9473071466452364,0.9493016881038555,0.9673399773814,0.9950137452518427
C100061,0.9874111501913154,0.9875287746677753,0.9923927270212729,0.998655669291073
C1000868,0.9760141534269287,0.9764371765504668,0.9856111340296811,0.9853996195478865
C1000879,0.9079078761287505,0.9138128284690737,0.9479492611615494,0.9564464116354718
C100107,0.9016656151392327,0.908365452972514,0.9369717313961329,0.982350726973429
C100118,0.9479642913742662,0.9499104216419609,0.9702217566123171,0.9984256304739405
C100141,0.9644611406784164,0.9653810955418204,0.9796647243236147,0.9986897823894848
C1001452,0.9932962278441787,0.9933297459433683,0.9962528954283014,0.9925602634199019
C1001532,0.9789986761736742,0.9793237712797207,0.9870787189409518,0.9935944394710917
C100174,0.9596777107178709,0.9608573905695439,0.9755751748400467,0.9951263548430731
C100185,0.9565780387732299,0.9579426320975855,0.9756798429260372,0.9269863577958581
C100196,0.9713203295850413,0.971922798781508,0.9826847729673007,0.9970737246348081
C1002273,0.9646003372550859,0.9655132030574552,0.9785219617163486,0.9870324040054452
C1002284,0.8876333494554667,0.8962869705371896,0.9303180455011353,0.9955913575953835
C1002331,0.9803477654798334,0.9806327506344489,0.9887504540833784,0.9624509397388282
C10024905,0.9851392270073828,0.9853028310939296,0.9908034830907925,0.9987747150543695
C100254,0.946449346062872,0.9485079367104313,0.9706536690063237,0.9946970884715101
C1002693,0.9923403604102387,0.9923840837562989,0.9958999489294463,0.9846290316476353
C100276,0.9744315927739293,0.9749116561168065,0.9841127160124209,0.9953850783930703
C1002842,0.9854309818465765,0.9855882628992818,0.9914129085606892,0.9780211543815693
C100298,0.9570763536347893,0.9584103436332084,0.9740983223544769,0.993805197875943
C1003049,0.9420676881642187,0.9444684912703426,0.9681015105343513,0.9957059932917819
C1003107,0.9940699597019986,0.9940962039989542,0.9968361015861482,0.9937844727348896
C1003174,0.9922862587478096,0.9923305999415346,0.9956657566572087,0.9833524201408416
C10031820,0.9596815589310704,0.9608610173017973,0.9746496378396734,0.993017658254102
C10031875,0.9921150730588446,0.992161397584805,0.995476130027031,0.9976759972300775
C1003196,0.9914135539923579,0.9914684562397131,0.9955434223971087,0.9069214538569255
C1003298,0.9448720649763402,0.9470509493819644,0.9682580934704836,0.9882335386917886
C1003312,0.9619721414870127,0.963023341699395,0.9782863779788246,0.994914283048428
C1003389,0.9772298955019001,0.9776115029398761,0.9867491594805975,0.9884800379740146
C1003641,0.995933051393968,0.9959454145370005,0.9978251740012977,0.9669902430689178
C100367,0.9638371918362856,0.9647892503553993,0.9766581933768121,0.9978088141008224
C100378,0.9509070048910572,0.9526433505869124,0.9683367826021788,0.9967497184924158
C100390,0.9799095911228294,0.98020731903271,0.988090974295645,0.9977620656679905
C100403,0.985371862247941,0.9855304146207923,0.9916073706292238,0.9710899737584342
C100414,0.9949825467486223,0.9950013492362111,0.9970964599264225,0.9728924594188783
C1004246,0.9197153801161139,0.9242450405197685,0.9498448307005184,0.99294173008472
C100447,0.9808873855487936,0.9811570546514755,0.9893125450705009,0.9973671233615883
C10045655,0.6341860070123256,0.7105885869545017,0.7541040379884174,0.9887437778861129
C100458,0.9767702418748256,0.9771672619699339,0.9871229323691763,0.991918606367898
C100469,0.9547270449672798,0.9562082411801783,0.9728219201237224,0.9982297660217627
C100470,0.9875531471139859,0.9876681465331056,0.9926241949553553,0.9954679785825657
C100481,0.9729997140469225,0.9735344251901197,0.9830228485308666,0.994424391278492
C100505,0.827384477882608,0.8468931814521603,0.8919561538782682,0.9911005683736485
C100516,0.9363845099638122,0.9392663405841735,0.9576248153591447,0.9945410247887801
C100527,0.8982392018251578,0.905394957777813,0.9407328598195844,0.9938237142363584
C100538,0.9745851959157785,0.9750595682220152,0.9845596003638412,0.981363787239097
C100549,0.971009776201436,0.9716252074429247,0.9809666823300511,0.9973188992856733
C100550,0.8289594503734262,0.8481362842359091,0.8809770454575824,0.9922154731182269
C1005647,0.9722309947300487,0.9727962313193727,0.9830948790047487,0.9899863667891123
C1005932,0.7867837306109376,0.8156717340805728,0.8686974160334797,0.9954934285544055
C100607,0.9954205764027336,0.9954362449330411,0.9974807329829105,0.9928904035235567
C10061026,0.963731095194296,0.9646886657811173,0.9783437139363667,0.9969215136245921
C100618,0.9801911798461971,0.980480687263926,0.9868205819522569,0.9975238857077333
C100641,0.8883474700397633,0.8968961660184904,0.929462679131157,0.9895232790378117
C100663,0.9916432831593608,0.9916952967996423,0.99482426785258,0.997774026883084
C100709,0.9864409182970697,0.9865772629986984,0.9917709557007446,0.9936457587252361
C100710,0.9920131326864822,0.992060658755067,0.9950966451394667,0.9973532731884494
C1007267,0.9883252009891003,0.9884264410473702,0.9933769887063209,0.9596705188395552
C1007325,0.9751808742153499,0.9756334908873324,0.9846785526970575,0.9962738807427076
C100743,0.9691046319767455,0.9698025236931294,0.9814276176193483,0.9938344118992738
C100798,0.9869088474254608,0.9870359929949789,0.9919071175995011,0.9985057770414967
C100801,0.9802356649718664,0.9805238840782633,0.9868650709310262,0.9937600798451061
C100823,0.9854587472808259,0.985615433004673,0.990201280551908,0.9967262063794394
C100845,0.9880733974652819,0.9881790297528957,0.9922961733936788,0.9974702182775145
C100867,0.9798365183250916,0.9801363979615767,0.9861393083369996,0.9959479670936837
C1008884,0.9914165560274381,0.9914714200275365,0.9947968863247785,0.9971285536936604
C1008953,0.954163693476543,0.9556812910919962,0.9712919117284381,0.9896468830693375
C1009116,0.989238604728657,0.989324687981631,0.9929983908466798,0.9936347929509376
C1009149,0.9932884739969382,0.9933220694616376,0.9957092084606383,0.9963844629172541
C100925,0.9845454474904136,0.984722300160795,0.9903156272245736,0.9925233314984595
C100970,0.8902592504187954,0.898529924325941,0.936231860041492,0.996602223319732
