compound,rmsc,reuc,rpcc,rscc
C100005,0.9640899635686907,0.9650289519881323,0.9798763327807165,0.9983553950342998
C100016,0.9008548145578784,0.9076612896749778,0.9401856734784855,0.997526842802043
C100027,0.9163754090993596,0.9212768751170505,0.9503437652272152,0.9981562718390864
C100061,0.9922439363808986,0.9922887639036537,0.9955037959641914,0.9980122014099172
C1000868,0.99648833935906,0.996497561187252,0.9980847436070365,0.9944653784080216
C1000879,0.9912369484757309,0.9912941240380145,0.9953838598730499,0.9821062281281253
C100107,0.9183817606342264,0.9230582366366703,0.9507210171429153,0.9897408440243762
C100118,0.9682820281471889,0.9690170849382941,0.9809430319324758,0.9981785974046218
C100141,0.9681566769432615,0.9688974795099902,0.9809795163439075,0.9783677122323614
C1001452,0.9845130800757316,0.9846906695707741,0.9918940201444942,0.9980115016223453
C1001532,0.9907638626910603,0.9908273534260876,0.9948537359550226,0.9960894971159756
C100174,0.941623974734538,0.9440608293754555,0.964932241592177,0.9985018812763075
C100185,0.8644076146010518,0.8767857216104494,0.924336932678607,0.9963404969597178
C100196,0.9539181582109141,0.955451754345161,0.9721741389494752,0.9967831720855392
C1002273,0.9952336125242024,0.9952505839323188,0.9973286858137634,0.9957399668073985
C1002284,0.9680932727238133,0.968836989871863,0.9824811395696701,0.9947006475517551
C1002331,0.9946777248336189,0.9946988759540274,0.9969977414160289,0.9953104999612163
C10024905,0.9944456918578393,0.994468722975766,0.9968345598271677,0.9982279611881137
C100254,0.888658446491662,0.8971616332539512,0.936695574962181,0.9955289627742987
C1002693,0.9980438492905169,0.9980467145135086,0.998973486467348,0.9975754511522041
C100276,0.9441158425836366,0.9463535577791052,0.9647762486050299,0.9975471787975044
C1002842,0.9982250489089177,0.9982274082573147,0.9990927263071463,0.9903054022851107
C100298,0.9478977784924383,0.949848782793443,0.9687119972316726,0.9984982030354479
C1003049,0.9949398733933164,0.9949589963930544,0.9973314450880831,0.9959575220512712
C1003107,0.996378645927327,0.996388451982385,0.9980767835217998,0.991364299292493
C1003174,0.989050289955096,0.9891393984508451,0.9941651911494859,0.9981611503046276
C10031820,0.9697579182795677,0.9704269644059821,0.9814261668479859,0.9954758351266754
C10031875,0.9944765764791518,0.9944993527648937,0.9970825922248983,0.9965551865406959
C1003196,0.9712224102181554,0.971828951886981,0.984491788036369,0.997425928750196
C1003298,0.8743880695982019,0.8850923523963296,0.9237762823075363,0.9893327131110774
C1003312,0.9330417444530908,0.93622590136077,0.9629286479541732,0.9977913319646098
C1003389,0.9943568955832914,0.9943806672287113,0.9969951594150291,0.9983965603426728
C1003641,0.9789043226206674,0.9792323200170078,0.9887119469257089,0.9972363121738305
C100367,0.9672541241009585,0.9680369399820705,0.9817087602602595,0.9941607272469737
C100378,0.9897278675808959,0.9898063330309633,0.9944345400277169,0.9971336189565801
C100390,0.9967483938474699,0.9967563021214978,0.9982445692799579,0.997410515624467
C100403,0.9857036954594391,0.9858551774876912,0.992100863325887,0.9944285409157455
C100414,0.9938724957783898,0.9939005123980641,0.9966527040321859,0.9987290538684668
C1004246,0.9564720061723249,0.9578431545321306,0.9758610446129241,0.9925903683374507
C100447,0.9982970832274728,0.9982992550892336,0.9990904817294657,0.9982715449323574
C10045655,0.9724495275758335,0.9730060020961092,0.9836625945110384,0.9951788707620695
C100458,0.9848590715490214,0.985028863088006,0.9916482154129188,0.9906705649299818
C100469,0.9973885291462885,0.9973936328727476,0.9985655029951958,0.997499944354241
C100470,0.9838071903570562,0.9840012248657453,0.9911960468103375,0.999057284029817
C100481,0.9883200026190531,0.9884213324192167,0.9935741562714178,0.9983614589231251
C100505,0.9664110671333564,0.9672341446474176,0.9815918198066714,0.9955424138717942
C100516,0.9582056667757377,0.9594715421219743,0.9766619513275695,0.9945194402298975
C100527,0.9951401060174699,0.9951577484738973,0.9973304276989894,0.9982933554467454
C100538,0.8436589042197928,0.859858633584704,0.909399385246357,0.9940391037922677
C100549,0.9864860990410221,0.9866215416680849,0.99254418023179,0.9984934146898057
C100550,0.989454983241125,0.9895376543512713,0.9941500641600324,0.9877846214982985
C1005647,0.9888474351519927,0.9889398603838516,0.9934473348918129,0.9983387869299539
C1005932,0.9471080967510879,0.9491174143196005,0.9717568205506805,0.9907897090569933
C100607,0.9834975743271567,0.9836990484920056,0.9911811020215405,0.9989177589410743
C10061026,0.9523853816563197,0.9540206727304563,0.9726346866766229,0.996417073018102
C100618,0.9890979501129916,0.9891862880635817,0.9938487218920735,0.9965396724282197
C100641,0.9783522074296389,0.9786974416718628,0.9882928195746541,0.9844043842862371
C100663,0.9980495497863044,0.9980523983478231,0.9989388958790197,0.9991702430464348
C100709,0.9887587693655713,0.9888526631657032,0.9938356115101731,0.9988574616091103
C100710,0.9900092662622693,0.990083508855016,0.9944884303651584,0.9983411291105257
C1007267,0.9939592822038479,0.993986512782097,0.9967004107800129,0.9990163664106462
C1007325,0.9938638449947322,0.993891940576074,0.9966213206235216,0.9971898599563002
C100743,0.979518510125421,0.9798278426385925,0.9890047761850307,0.9967640844661397
C100798,0.983852722679646,0.9840456747545473,0.9912670105521585,0.9955145878073208
