compound,rmsc,reuc,rpcc,rscc
C100005,0.8993916165859942,0.9063924923383216,0.9428077609818668,0.9980966975272672
C100016,0.8696425164401581,0.8811290855044909,0.9206813279734178,0.9817565837176385
C100027,0.9144626345243336,0.91958318063412,0.9494128461845998,0.9977335396285859
C100061,0.9659245710327246,0.9667713285408932,0.9798794436119918,0.9981198208693701
C1000868,0.8629082243904047,0.8755471621937415,0.922277297537563,0.9671636686030889
C1000879,0.5887263315045285,0.6823936002472174,0.7552725777993218,0.9450310362814093
C100107,0.8606858101213593,0.8737158079807649,0.9144954830231937,0.984854781806797
C100118,0.8956502327167081,0.9031596016743684,0.9363216712101674,0.9961081740434455
C100141,0.9150313391493828,0.9200862824059496,0.948802311114529,0.9776331275127245
C1001452,0.992091645271336,0.992138244581541,0.9958989210803211,0.9972334839828272
C1001532,0.966569592575691,0.967385024481161,0.9812262868967889,0.9932006481138335
C100174,0.9402461172026324,0.9427965516534603,0.9640788268606634,0.9979354020190602
C100185,0.8586557257401096,0.8720475682708423,0.9209998442493623,0.9929235410412762
C100196,0.8729025131214839,0.883849016971708,0.9219213207186635,0.994886152524837
C1002273,0.9560873329552758,0.9574823892932355,0.97510373863989,0.9879314485471584
C1002284,0.9487609569275907,0.9506491618818541,0.9716953268920974,0.9926235215933644
C1002331,0.9855355207242708,0.9856905661261667,0.9918212005960632,0.9918433007939917
C10024905,0.9624986749144565,0.9635214037648563,0.9782976792665364,0.9981406520558763
C100254,0.7778364691414639,0.808996530618749,0.8695760018983952,0.937935838566595
C1002693,0.9969149217561418,0.9969220417289408,0.9983802320990014,0.9915831776688511
C100276,0.917349676212874,0.9221412727595262,0.9479091519608666,0.9941491943355988
C1002842,0.9919384293703241,0.9919868456479066,0.9957831962240432,0.9918127420918381
C100298,0.9582226327279716,0.9594874979140575,0.9749994265664105,0.9979033901569582
C1003049,0.9613307277286961,0.9624171226347408,0.9793321327035579,0.9891256202066424
C1003107,0.9804975015782055,0.980778195047737,0.9895927529975546,0.9891862707111826
C1003174,0.9910794202677639,0.9911386622005912,0.9952427696311729,0.997397143405303
C10031820,0.8864153590778592,0.8952492816277897,0.9290170031387123,0.9905992064577557
C10031875,0.9926557440934415,0.9926959514808109,0.9961145097448219,0.9956680857896469
C1003196,0.9856009896316518,0.9857546429787165,0.9922983503494239,0.9957532490940232
C1003298,0.814924883471452,0.8371449941657344,0.8856163626192115,0.9824406445240264
C1003312,0.9520893740337516,0.9537446656702956,0.973530013709071,0.9944082944781044
C1003389,0.9971575080318585,0.9971635535296882,0.9984852498790402,0.9975000786909717
C1003641,0.971736620312929,0.9723219255189337,0.9848431769091346,0.9950925068582929
C100367,0.937009072262062,0.9398360023754259,0.96455103543557,0.9916311969608795
C100378,0.9674866754142519,0.9682585583103379,0.9822036668830959,0.9946262770888985
C100390,0.987771755370025,0.9878827707617726,0.9933604304831175,0.9953658776085587
C100403,0.9752564555670196,0.9757063475850354,0.9862029423299852,0.990240132245799
C100414,0.9956277634720211,0.9956420487490563,0.9976128600592693,0.9941987164378318
C1004246,0.9537225228433682,0.9552689239098224,0.9743958711020034,0.9904154398057156
C100447,0.996496846707066,0.9965060239726831,0.9981134171350284,0.9954945470903637
C10045655,0.934545087287296,0.9375915122857045,0.9610499007334675,0.9895740759337901
C100458,0.9618785569908747,0.9629348572519147,0.9788172907206889,0.989681276832216
C100469,0.9932342727827512,0.9932684115271532,0.9962775133031425,0.9962122419170317
C100470,0.995419146245755,0.9954348245455511,0.9975262121438687,0.996487293281627
C100481,0.9266655989579796,0.9304657671425933,0.9590301195775398,0.9953474268239534
C100505,0.9638163382857515,0.9647694789960579,0.9802992284535087,0.9905705799936821
C100516,0.9775608690707095,0.9779315640739887,0.9875083967942754,0.9957850861497517
C100527,0.9209907968431796,0.9253820998358665,0.9557899132600449,0.9932917891216848
C100538,0.7714417598054722,0.804269155174607,0.8646493032511456,0.9855675316553167
C100549,0.9940321612251174,0.9940587403205124,0.9967203379600308,0.993611562813944
C100550,0.9825988180585243,0.9828226695066675,0.9903421586045398,0.979188872197243
C1005647,0.9573541606019453,0.9586712348852251,0.9747548761167579,0.9972486439859299
C1005932,0.939000007741198,0.941655279253804,0.9674156132299837,0.9849704065737687
C100607,0.9833515680849911,0.9835565984755181,0.9911072673023806,0.9972697970559833
C10061026,0.960266254102943,0.9614122945184571,0.9772351991435227,0.9930181099777529
