compound,rmsc,reuc,rpcc,rscc
C100005,0.8649445228414966,0.8772298210353286,0.9222912385741754,0.9977128111150623
C100016,0.7612061091296297,0.7967762630046529,0.8498715364452232,0.9906623722630061
C100027,0.8260821589793961,0.8458671387226483,0.894068318515758,0.9912833225351831
C100061,0.935000742938534,0.938005991717328,0.961510524762841,0.9978588889134535
C1000868,0.9280958425453723,0.9317533713359079,0.9599530053159763,0.9955096892943178
C1000879,0.918674201218324,0.923318295698755,0.9563632325320044,0.9840665585102973
C100107,0.8845019115668831,0.8936224951575846,0.9296173451550933,0.9905681741108949
C100118,0.8987803829164436,0.9058632122201429,0.9379643839215659,0.9965546463833815
C100141,0.8965974434004654,0.9039765305488664,0.9370290770544459,0.9777613804944565
C1001452,0.9225225632300713,0.9267503587399748,0.9586437745947419,0.9967061733442202
C1001532,0.8356295456928308,0.8534283730072663,0.9044646934071693,0.9927406806469297
C100174,0.9130102513650377,0.9183001222258772,0.947427377160918,0.9984930883096316
C100185,0.9297143223733173,0.9332135421642057,0.9614671393369808,0.9958817613812437
C100196,0.9023062106989845,0.9089223455670583,0.9402780116018459,0.9960940214721431
C1002273,0.9328988167954038,0.9360962182215937,0.9617629433587054,0.9944118737931709
C1002284,0.9416395014181784,0.9440750902013366,0.9677482310834283,0.9853628641190525
C1002331,0.9597151369390574,0.9608926636065653,0.9770407392247702,0.9959459739637803
C10024905,0.9650225165359798,0.9659140442973915,0.9797745832617879,0.9977506440481332
C100254,0.8471996810700138,0.8627152681704794,0.9121624694488251,0.9944041467144457
C1002693,0.9319430796658421,0.9352297128716491,0.963648150469058,0.9966473304837208
C100276,0.7585115514948332,0.7948186554604332,0.8396839832021062,0.9864337659962819
C1002842,0.9400572495570133,0.9426234445754699,0.9681144725510699,0.9860891001012863
C100298,0.9172115203756767,0.9220186262224626,0.9498932437408791,0.9981585342045296
C1003049,0.7666992206523747,0.800786212171425,0.8683267945680936,0.994386482090122
C1003107,0.8639291117578087,0.8763901944386394,0.9250951471713041,0.9908043924176375
C1003174,0.9275332599182151,0.931246589080548,0.9607426844115047,0.9974796042368717
C10031820,0.947808494545978,0.9497660507093045,0.9677097397642961,0.9954923283796739
C10031875,0.9725447799958256,0.9730974563067156,0.9853963365384291,0.9960774491534536
C1003196,0.9156719035929909,0.9206534267261565,0.9538954178942706,0.9970687256971363
C1003298,0.8814958701849931,0.8910751753616746,0.9282118438061352,0.9730054227447634
C1003312,0.9522635569353798,0.9539070652823121,0.9736925071860559,0.9972294896665638
C1003389,0.8804307886188008,0.8901750691800864,0.9342841423918703,0.9978962682492792
C1003641,0.8946115155173527,0.9022649527085875,0.942277882561852,0.9962179633127699
C100367,0.911686637422828,0.917133049339411,0.9499066486366525,0.9909334630360398
C100378,0.9138859094893668,0.9190733856929082,0.952168195271208,0.9866931241327599
C100390,0.8910915323900683,0.8992424821832102,0.9390756625146246,0.9964332531934482
C100403,0.925494903265669,0.9294137344980031,0.9580131193871325,0.9949703458693046
C100414,0.9118536329821056,0.9172801777671372,0.9506992750090992,0.9975478405511063
C1004246,0.8482772622792045,0.8635872205684584,0.9132811759512979,0.9815980731204005
C100447,0.9156586324696893,0.9206416716318874,0.95354494945277,0.9975144737054117
C10045655,0.9170914214662005,0.92191202855377,0.9498688687780169,0.9939058959023359
C100458,0.8795958803635708,0.8894703743983428,0.9318280087487569,0.9930596419485832
C100469,0.8930984542580781,0.9009639909249159,0.939602301821895,0.9931662056374959
C100470,0.8860763182180498,0.8949607304183531,0.9364638628225654,0.9974890252324472
C100481,0.9056363047682803,0.9118251496282348,0.9469983972882662,0.9971619512663062
C100505,0.8690931342963926,0.880671864237838,0.926364672766106,0.9943720439830072
C100516,0.838538285689826,0.8557502257253914,0.9067853099660552,0.9886523155567928
C100527,0.8989946380174514,0.9060486903285279,0.9431138203675542,0.9974263012207967
C100538,0.8547992320868101,0.8688905521618769,0.9160909224767934,0.9947834203368198
C100549,0.9406617030494526,0.9431776205180699,0.9669203096798418,0.9977930446174064
C100550,0.8867602370741594,0.8955429350098212,0.9353333954541616,0.9751327085769785
C1005647,0.948527927915011,0.9504329895863497,0.9694150578750883,0.9980470498941979
C1005932,0.8071633727904267,0.8311484019173261,0.8928031930303362,0.9902204225930021
C100607,0.8664755292093919,0.878497896000114,0.9262822513674722,0.992630437030922
C10061026,0.9130704325254452,0.9183532363442403,0.9495258643285341,0.9961844255952501
C100618,0.8626713398360727,0.8753517073774547,0.9198760038393855,0.9882911328015072
C100641,0.8059739231321319,0.8302344890922227,0.8899964606593629,0.9768257350954613
C100663,0.9138903170089029,0.9190772801771608,0.9521999092444453,0.9985712383748139
C100709,0.9218702201995655,0.9261672943369882,0.9563238497583813,0.9975981907821395
C100710,0.9216572868712587,0.9259770886438545,0.9560149932722137,0.9968133757415218
C1007267,0.8618199776940232,0.874649742157354,0.9216015181901277,0.9971939198483735
C1007325,0.9116502859069371,0.9171010269610926,0.9503156921425134,0.9965054296770632
C100743,0.9381141294197494,0.9408451508854044,0.9664064434491406,0.995817117871956
C100798,0.8980530808352786,0.9052339967348569,0.9436211995381725,0.9894666946082067
C100801,0.9679793740897642,0.9687283409536812,0.9811731168229493,0.9837274187824856
C100823,0.7438546485785799,0.7842769236661558,0.8437064963291734,0.9907041221328848
C100845,0.9341668677918455,0.937247672785485,0.9630568881251964,0.9980554347919766
C100867,0.8860843107760246,0.8949675312262941,0.9341787826399907,0.981348729534258
C1008884,0.9091844182229776,0.9149325447633586,0.949242046417313,0.9978589145816992
C1008953,0.9208931575941298,0.9252949814946848,0.954412405358005,0.9797037048833742
C1009116,0.8930648783581778,0.9009351517361097,0.9350120071847963,0.9863047405315087
C1009149,0.9254013028086716,0.9293296955058941,0.9579515235615677,0.9966289214802745
C100925,0.9089321450066357,0.9147111087209838,0.9475421573343098,0.9900815551359533
C100970,0.8197968894546768,0.8409387240507377,0.9010154137480034,0.9932663610709016
C1009741,0.9460670944985712,0.9481545383434854,0.971007810751919,0.974092906308655
C10099704,0.9470976860706322,0.9491077778931829,0.9710343714616743,0.9935545869904335
C101053,0.7862748281730731,0.8152901373095073,0.8661236344762212,0.9748246555302702
C10108562,0.9501392933231992,0.9519292625422099,0.9731035526185545,0.988226332097635
C101086,0.86787431228915,0.8796586814876678,0.9200794371627088,0.9650336304604507
C101096724,0.8794715828141727,0.8893655293083176,0.9314702485705274,0.9796781707871383
C101188,0.8804877632892862,0.8902231865093679,0.9307085921683238,0.9709457127846973
C101213,0.9137438443240801,0.9189478695587869,0.9483784353516096,0.9743883935313022
C10133343,0.9250636973591401,0.9290266680318235,0.9550683226704395,0.9977192392306719
C101371,0.9303036138547286,0.9337460136959491,0.959745478921066,0.9901981335625613
C1013758,0.9383548495912394,0.9410651873442736,0.9653594227397149,0.9978042449657449
C10138326,0.9202473088445745,0.9247190214407768,0.9560001691314023,0.9941833540865156
C10138597,0.9294319928178184,0.9329585904369108,0.9619432595186123,0.9863743786692007
C10141727,0.9492170469050042,0.9510724672941059,0.9728757747754976,0.9980086946029608
C10143609,0.9587988182455622,0.9600296083929686,0.9779026265476509,0.9966533449096495
C101439,0.9161482107426333,0.9210754652335484,0.9535839588534115,0.9973645466069763
C1014604,0.8766962655807942,0.8870290448947395,0.9317395911736946,0.9966150565057385
C1014706,0.8983323891624188,0.9054755632343462,0.9438364982908105,0.9880932124540077
C1014819,0.6653569889474926,0.7306674626282756,0.7940545600092968,0.9827679637436967
C101484,0.9412056263319117,0.9436767059260533,0.9668524341944412,0.997664759597207
C101531,0.8664335256782297,0.8784630721207117,0.9248297923482749,0.9805410457730394
C101553,0.8509930633598398,0.8657901506048661,0.9179198506813776,0.9979934341751892
C1016053,0.8636243685867832,0.8761384247349503,0.9231641742410638,0.9983093593168424
C1016199,0.8918727236332856,0.8999120243397299,0.9358549521854798,0.9408301213677088
C1016586,0.8684523312955961,0.8801389751485699,0.918074320220802,0.9794264614131323
C10169558,0.8754189814649378,0.8859566086179234,0.9273425471505385,0.9968887577580865
C101702,0.8879665221358415,0.8965711179181979,0.9324079079199427,0.9725257615506165
C101724,0.8882472709992963,0.8968106539718311,0.9319253242054002,0.9605831426326324
C101779,0.6617142187079438,0.7282877591135303,0.7879430097040045,0.9894421981086435
C101815,0.8766814408080559,0.8870165872803425,0.9321973923610772,0.9954283659220127
C101837,0.9039447232587368,0.9103489726418906,0.9478993454029263,0.9854723560489186
C101848,0.8595964809165709,0.8728200942392514,0.923368854550886,0.9982665255725048
C101859,0.9319709188193589,0.9352549364323524,0.9597453699450937,0.9771757281818974
C101973,0.9221258587705015,0.9263957212993988,0.9564744796885333,0.9960825318408026
C10199505,0.9217241566936947,0.9260368150049937,0.9513090426546751,0.992487015802271
C101995,0.9125107533730056,0.9178594495152493,0.9479135800553748,0.9771319257891673
C10202752,0.8569245295705903,0.8706284165459531,0.916721139126429,0.9722344174076418
C10203084,0.8750330960648672,0.885632966926999,0.9250585240372182,0.9965100360966728
C1020311,0.8637926936972706,0.8762774775166061,0.9242945743274232,0.9679735603955082
C10203288,0.9668360120602374,0.9676386728496262,0.9822872608057087,0.9834487611230623
C10203302,0.9721606383922418,0.9727287101484093,0.9851761579534815,0.9794039681608833
C10203324,0.9340226820202729,0.937116641513876,0.9646061925766523,0.9848410204420408
C10203335,0.9721226605007157,0.9726922655413925,0.98522434796525,0.9795102841605938
C10203584,0.9648083446848784,0.9657106666242149,0.9810924401728932,0.9967598966075573
C102045,0.8945068038125039,0.9021748338891757,0.9417205329510921,0.9968468229644237
C102067,0.8356549880334297,0.8534486447615481,0.9042937712893181,0.9802568426484081
C102082893,0.9408830728395317,0.943380695557053,0.9660674559328406,0.9854214920782546
C102114,0.8828961338282456,0.8922604890811537,0.9316370557305287,0.9911950040975512
C102169,0.879308352632832,0.8892278707968528,0.9332728779906844,0.9958724844650905
C102181,0.8729981803631889,0.8839290121762956,0.9269357983330816,0.9870357133355341
C102192,0.9457644499550429,0.9478748742206974,0.9695821883348672,0.9960962948917942
C102205,0.896841083496853,0.9041868288893918,0.9426896006987685,0.9909327100383821
C102227,0.9626052093339141,0.9636222236110157,0.9789365422614631,0.9921142997608918
C1022464,0.9791089082562668,0.9794306287068495,0.9882250616365165,0.997935066083554
C102250,0.9640443435947659,0.9649856844083625,0.9807375812335272,0.9958273861069963
C102272,0.9326080861577921,0.935832508592507,0.9614750909826542,0.99067038262923
C10229104,0.9256523245853893,0.9295550996259067,0.9586496768506557,0.9789098349475599
C102294,0.8701322103717997,0.88153690994935,0.924820141058516,0.9739110125017469
C10230690,0.9016029715798677,0.9083110207073384,0.9436593458314304,0.9955527306329338
C10232936,0.9346360482897872,0.9376742322217748,0.9627905084394992,0.9920451931619791
C102454,0.9458649625282,0.9479677413306399,0.9703203720727902,0.9800071987250563
C102465,0.9160105853657043,0.9209534919046882,0.9525672774032801,0.9932209550685791
C102476,0.9027716414600649,0.9093272654564983,0.9432074550224957,0.9964483077131764
C102487,0.9161262649412653,0.9210560137633269,0.9529593250449516,0.9847171844595073
C102512,0.6627003721944708,0.7289310939231173,0.7807793076957733,0.9937208825604692
C102534,0.9285735612459092,0.9321840194797678,0.9607607021872827,0.9951564977945918
C10258545,0.9192464709460342,0.923827503118754,0.9553034448333506,0.9926393339820966
C102625,0.9410119151028694,0.9434989191197051,0.968072526969903,0.981685450076761
C10264558,0.9265702475285276,0.9303800164506172,0.9601445421408513,0.9955002986509742
C10268696,0.8608508735443025,0.8738516442063847,0.9193039067463165,0.9682935551719264
C1026922,0.9338209367774429,0.9369333466096621,0.960478760583681,0.9933662283454622
C102692,0.917390567320734,0.922177577940024,0.9551861927299405,0.9965655104214948
C102703333,0.9399233286676325,0.9425007270547191,0.9671495744617072,0.9908995292406281
C102705,0.8770017073356267,0.8872857694218143,0.9283687610975261,0.9924045191850461
C102761,0.9110878482603583,0.9166057740762569,0.9514073935153989,0.9885217505593614
C102772,0.7986913784555246,0.8246679287846127,0.8758643507094273,0.9945147020965897
C102794,0.8762308427105384,0.8866380554785384,0.9307273135042121,0.9890353848944059
C102829,0.9244396831655017,0.9284669406760584,0.9592662000129291,0.9965291536935855
C1028337,0.9784732925224445,0.9788147094151762,0.9880249993241874,0.9970850859249204
C102852,0.9621877763597013,0.9632272707027923,0.979958808848228,0.9454940148021465
C10289686,0.9232918638971607,0.9274386385756752,0.9587657942043705,0.9819089172609394
C102976,0.9229311129577864,0.9271157894923838,0.9563640389448242,0.9909605154933154
C103059,0.9035372548895916,0.9099938991093173,0.9449510846591158,0.983792601324931
C103082,0.952784332676641,0.9543928524545058,0.9747174622791598,0.9855184412292727
C103093,0.9731652395301871,0.9736934861565596,0.9856387357538653,0.9941035419555905
C103140121,0.8389428416274659,0.8560738365245129,0.9028487487552568,0.9938954798406844
C10315987,0.9175578728545069,0.9223261415513634,0.9551699514331812,0.9948319707929087
C103162,0.8633683201332611,0.875926962640616,0.9225350762700589,0.9774843448058523
C103195,0.934618128281514,0.9376579349300889,0.9629633284135957,0.9946791675394494
C103231,0.968405346079028,0.9691347715556349,0.9831919136921755,0.9927530896511253
C103242,0.9740263992910182,0.9745216345019849,0.9861739768896608,0.9908578204024706
C103264,0.9264062555651885,0.9302325631429003,0.95857630776774,0.9974581056759795
C103297,0.9075478194526598,0.9134973588168267,0.9489619152481237,0.996696233550308
C103300,0.9458735437325914,0.9479756704223754,0.9698947778855807,0.993047579184664
C103322,0.9051547203335586,0.9114045430774897,0.9472958208326551,0.9900170751914719
C103333,0.9874260464546637,0.9875433941717356,0.993174826010071,0.998700765213494
C10334266,0.8000040727661633,0.8256676528431292,0.8877213183136482,0.9907897512128714
C103366,0.9496038966684731,0.9514317253929814,0.9700995458947377,0.9958322632610211
C103377,0.9197750207353635,0.9242981665786727,0.9550082637105013,0.9978345209424778
C103413,0.9047906401886198,0.9110867457936762,0.9460810748422969,0.9755931708602084
C103435,0.9156939679201028,0.9206729710069861,0.9528186210307075,0.9863411420383282
C103457,0.9273197779384994,0.9310543856156803,0.9596119090759859,0.9972350654840038
C103491,0.8863593774941416,0.8952016277501079,0.9364832526286734,0.9798950654015653
C103504,0.9130164634713376,0.9183056046444494,0.95201504124261,0.9866209856831142
C10352440,0.9521740046468072,0.953823566059828,0.9715007778828357,0.9945693477305335
C103526,0.9159523474184776,0.9209018842912456,0.952964354592578,0.994099383699802
C103537,0.9311274385389369,0.9344911406623756,0.9610989345715877,0.9915348760261207
C10353863,0.8986103504565713,0.905716055440086,0.9429988673834103,0.9868834378736647
C103548,0.9211525383888247,0.9255264392046568,0.9529992340601625,0.9949733960812644
C103606,0.9413382548980247,0.9437984595838544,0.9670119006772415,0.9867846923201731
C103617,0.9430003742524692,0.9453262322818945,0.9660693143650473,0.9980612538019916
C103639,0.9124280265656857,0.9177864945327049,0.9511079376365068,0.996280012268297
C103640,0.9627287574675027,0.963739163981681,0.9792336677217166,0.9967409738644798
C10364940,0.9033285900423453,0.9098121419421927,0.9449815649878275,0.9978457087377329
C103651,0.9111818606071322,0.9166885297825735,0.9503810329385934,0.996871145219692
C103673,0.8812906005223904,0.8909016016313376,0.9312459290425287,0.9917511798961802
C103695,0.8969791689188866,0.9043060483027117,0.9399676404065807,0.9884994040095672
C103719,0.8374969599395264,0.8549180183777799,0.9071230920642137,0.9446902616549759
C103720,0.9391793686920042,0.9418194266325545,0.9653185836015331,0.9930848687753097
C103731,0.9191525362568547,0.9237438920876104,0.9547540027138708,0.9982863041735817
C10373781,0.8008220312683055,0.8262914059338338,0.88816246225704,0.9903203522582621
C10374808,0.9847296629821728,0.9849023508961006,0.9917008967572248,0.9956813380987585
C10375969,0.9465351379530901,0.9485872792273223,0.9711864139771735,0.9865400999825005
C103796992,0.9469624452886714,0.9489826080881774,0.9699750414651593,0.9949073964642271
C103797,0.9140561044707872,0.9192237871296519,0.9520035876418792,0.9936610654307936
C103811,0.8382362331849474,0.8555087176982744,0.9065993721104052,0.9872918771806297
C103822,0.8503363021267535,0.8652567101686134,0.9153884630489838,0.984653618641816
C103844,0.929163093091383,0.9327158597435218,0.9585049337767088,0.9835071931042725
C103902,0.866146949035755,0.8782255310827543,0.9159856963004082,0.9754365301103507
C103935,0.9614876742359201,0.9625654055475688,0.9788556551812685,0.9955426639966692
C103957,0.9514697728806685,0.9531673075302997,0.973091156905075,0.9966094625144313
C10397305,0.9059430330824366,0.9120931842930098,0.9419089181654695,0.9967252952504002
C10401113,0.941690490225102,0.9441219242020626,0.9675954247221586,0.9570047171490484
C10403471,0.729449283476763,0.7740873111553227,0.8257815104224212,0.9860888168137875
C10405842,0.9361198865331006,0.9390251291753217,0.9655522202986321,0.9930510651947205
C10405853,0.9359614577655466,0.9388807600456972,0.9657083703463626,0.9944106638257975
C10409548,0.9305500755036651,0.9339688415014583,0.9602957524415371,0.9972418291604009
C104096,0.9104354186297398,0.9160317574934337,0.9485532925554955,0.9910288007083686
C104132,0.8424417536094322,0.8588796464925331,0.9072000028718044,0.9896325028562948
C10415879,0.9271232994421075,0.9308775413942042,0.9588738006361132,0.9823658826672641
C104201,0.9671534405949364,0.9679410131374034,0.9814961711784155,0.9956489177930403
C10420890,0.8531390853448265,0.8675363665357247,0.9134324903520075,0.9880782815915209
C104212,0.9694988982578184,0.9701793102986485,0.9827318779380614,0.9855103583549389
C104222346,0.7697094178703373,0.8029946543198021,0.8555363212889471,0.9848549300081274
C10422352,0.9297962164707254,0.9332875137219533,0.9618098619319602,0.997359061284154
