mode_index,freq_from_hessian_cm1,freq_reference_cm1,abs_diff_cm1,omega2_raw
0,44.803118707427785,0.0,44.803118707427785,-0.007381699043656083
1,44.228493571958545,0.0,44.228493571958545,-0.007193564432477126
2,16.417900043323957,0.0,16.417900043323957,-0.000991231414435686
3,15.554754477966327,0.0,15.554754477966327,-0.0008897462449270463
4,5.7060733395771885,0.0,5.7060733395771885,-0.00011973318673099331
5,5.456938523447268,0.0,5.456938523447268,-0.00010950601254397158
6,1.5571364976710467,-43.454048663808834,45.01118516147988,-8.916475311247239e-06
7,0.5777958575981407,-43.02097251697158,43.59876837456972,-1.2276899220004457e-06
8,0.03920301479704038,-16.29087403095909,16.330077045756127,5.651695771530606e-09
9,6.622024048497089,-15.550908693263503,22.17293274176059,0.00016125803006011342
10,8.30684959667549,7.35350988435433,0.9533397123211591,0.0002537537899402277
11,13.544578302311157,13.528984355068703,0.01559394724245422,0.0006746380303708087
12,31.929064917845412,31.922156896883926,0.006908020961486017,0.0037489723958787995
13,35.95858340055378,35.80541868823168,0.15316471232209494,0.004754939454843621
14,40.30312955781178,40.21354031092699,0.08958924688479186,0.00597334204763144
15,50.76040544711055,50.760401000601135,4.446509414890443e-06,0.009475235386086949
16,54.421592148562674,54.41925738566082,0.0023347629018530824,0.010891365420403958
17,87.99890208081406,87.99872388451617,0.00017819629789528335,0.028477007546458936
18,346.248977511411,346.2474752727159,0.0015022386950818145,0.4408763901663978
19,346.4658122813242,346.464864328827,0.0009479524971993669,0.44142875144537763
20,354.1114853778864,354.11145095740824,3.442047818680294e-05,0.46112627497043307
21,354.18390238190807,354.18387839271077,2.398919730239868e-05,0.46131489804095377
22,354.96890128108765,354.96883308339255,6.819769510002516e-05,0.46336204355899346
23,354.98261897966836,354.9825898587998,2.9120868532572786e-05,0.46339785730855015
24,693.9285677173758,693.9285251186134,4.259876243395411e-05,1.7707994433757586
25,693.9655810673736,693.9655385578117,4.2509561922088324e-05,1.7709883532164032
26,694.0268118994203,694.0267697241023,4.2175317958026426e-05,1.771300887086489
27,694.0402160756141,694.0401680779554,4.799765872576245e-05,1.7713693082427204
28,694.4869142600908,694.486871970639,4.228945181239396e-05,1.7736502195602128
29,694.6325625064479,694.6324852753565,7.723109138169093e-05,1.7743942397203987
30,747.4523294931877,747.452283841642,4.5651545633518253e-05,2.054503296363984
31,753.3228440494169,753.3227980674905,4.598192640514753e-05,2.086902299581482
32,754.0817752929449,754.0817294792158,4.5813729116161994e-05,2.0911092957537023
33,962.7138482794302,962.7137897123247,5.856710549778654e-05,3.408272268858425
34,967.2644451557832,967.2643862372095,5.891857369988429e-05,3.4405691534632217
35,967.9126977560616,967.9126375077753,6.0248286217756686e-05,3.4451823805802055
36,1026.2420143214342,1026.2419519557614,6.23656728748756e-05,3.872928009158653
37,1026.5301293602645,1026.5300669518922,6.240837228688179e-05,3.8751029453318737
38,1026.6224770210567,1026.6224146436066,6.237745014914253e-05,3.8758001928430077
39,1055.2389837526252,1055.2389005673163,8.318530899487087e-05,4.094882994507954
40,1055.6320617525912,1055.6319868701244,7.488246683351463e-05,4.097934262008603
41,1059.1287332975658,1059.1286687987913,6.449877446357277e-05,4.125127187507338
42,1059.13578791447,1059.1357226358664,6.527860364258231e-05,4.125182140768433
43,1059.2369567191563,1059.2368922703636,6.444879272748949e-05,4.125970254404536
44,1059.2403613461618,1059.2402969022564,6.444390533033584e-05,4.125996778049202
45,1137.8798991443016,1137.8796981871938,0.000200957107836075,4.7613783636376565
46,1144.8440950576733,1144.8440254914535,6.956621973586152e-05,4.819839092643037
47,1148.2556888541071,1148.2555963305033,9.252360382561164e-05,4.848607784357403
48,1179.5410338344382,1179.5409620077876,7.18266505828069e-05,5.11641720106337
49,1179.9293197474117,1179.9292479950816,7.175233008638315e-05,5.119786239784064
50,1183.911952622947,1183.9118806270312,7.199591573225916e-05,5.1544063485874005
51,1214.77264680466,1214.772570583681,7.622097905368719e-05,5.42662550298166
52,1215.0714469514367,1215.071373034694,7.391674262180459e-05,5.429295427959023
53,1215.9100533721996,1215.909979489288,7.388291169263539e-05,5.436792292781386
54,1216.1049987982412,1216.1049246900177,7.41082235435897e-05,5.43853578153922
55,1217.6735082161651,1217.6734287732577,7.94429074630898e-05,5.452573871626788
56,1217.837811419435,1217.8377374070426,7.401239236060064e-05,5.454045425024779
57,1404.0212443734667,1404.0211464170054,9.795646133170521e-05,7.249151919672193
58,1404.090471770594,1404.0903864345078,8.533608615834964e-05,7.249866798158226
59,1405.4141907286412,1405.414104918878,8.580976327721146e-05,7.263542996445183
60,1457.4437543789884,1457.4436627868904,9.159209798781376e-05,7.811302379202425
61,1457.4733311467892,1457.4732425721,8.857468924361456e-05,7.811619421174362
62,1458.413675257757,1458.4135865015999,8.87561570834805e-05,7.8217025970543235
63,1458.427080529076,1458.4269918335401,8.86955358510022e-05,7.821846386884535
64,1459.8945290477677,1459.8944403338178,8.871394993548165e-05,7.837594766253009
65,1460.0190988398854,1460.0190096584165,8.918146886571776e-05,7.838932354942211
66,1635.0936559884246,1635.0935559920179,9.999640678870492e-05,9.831620579258422
67,1635.2893240654912,1635.2892247187149,9.934677632372768e-05,9.833973777059269
68,1638.8240228526458,1638.8239231803298,9.96723160824331e-05,9.876532242902533
69,1638.9837714455464,1638.9836716277757,9.981777066059294e-05,9.878457817588714
70,1643.0969594558444,1643.096859574805,9.98810394321481e-05,9.92810192007506
