mode_index,freq_from_hessian_cm1,freq_reference_cm1,abs_diff_cm1,omega2_raw
0,36.67207233197149,0.0,36.67207233197149,-0.004945506170088948
1,14.07590962294326,0.0,14.07590962294326,-0.0007286060654844262
2,11.363134644277988,0.0,11.363134644277988,-0.0004748278115240184
3,0.7774875817182739,0.0,0.7774875817182739,-2.2229350061678625e-06
4,0.7454701467227547,0.0,0.7454701467227547,-2.0436209938083545e-06
5,0.5834063905606135,0.0,0.5834063905606135,-1.2516479919813077e-06
6,14.161033212680914,-24.09609167744258,38.25712489012349,0.0007374451532769723
7,25.03186907420032,24.986158038348112,0.04571103585220726,0.002304233043009495
8,32.05230133300769,31.403057634014107,0.6492436989935833,0.0037779680165284995
9,40.005963087260106,39.93448014192639,0.07148294533371313,0.005885580480792068
10,42.12865646612512,41.98168487327236,0.14697159285276484,0.006526721196993266
11,46.255267111713884,46.09999563076475,0.155271480949132,0.00786796155894433
12,54.38932299578846,54.30765884973374,0.08166414605472028,0.01087845323156276
13,65.44052943171718,65.32355718983334,0.11697224188384325,0.015748291733530567
14,70.9486808063454,70.91714651035758,0.03153429598781088,0.018510940823077228
15,74.14053594475962,74.11643781101381,0.02409813374580949,0.020213954563189977
16,83.56084663253084,83.5600022153218,0.0008444172090378288,0.02567707242453644
17,100.03886560659859,100.03066486510059,0.008200741498001207,0.036802503248570595
18,354.0498586440467,354.0496634484481,0.00019519559862146707,0.4609657874709186
19,355.3424296802033,355.342188810227,0.00024086997626682205,0.4643377343637932
20,356.79997517343406,356.7998145682768,0.00016060515724802826,0.46815479279962297
21,357.3950292766146,357.3949265491927,0.0001027274219040919,0.4697176277149956
22,361.50119997567367,361.5011228792356,7.709643807629618e-05,0.48057295815838524
23,363.0383652428294,363.03824196842277,0.00012327440663284506,0.48466860509968546
24,692.1220452791863,692.1220028166366,4.246254968620633e-05,1.7615915073698458
25,692.8078547453873,692.807808096079,4.6649308274027135e-05,1.7650842863912983
26,693.9264885505862,693.926445801889,4.274869718301488e-05,1.7707888319611278
27,695.219462684412,695.2194195057938,4.317861817071389e-05,1.7773939039783726
28,696.0009281467328,696.0008835835056,4.456322722035111e-05,1.781391929535693
29,696.9838133611765,696.98376734231,4.601886655564158e-05,1.7864268081451884
30,754.1654771150583,754.1654248756944,5.2239363867556676e-05,2.0915735408210887
31,757.3387662208734,757.3386971883459,6.90325274490533e-05,2.109211927304569
32,758.8470153624603,758.8469586523071,5.6710153216954495e-05,2.117621333865009
33,967.4741805539672,967.4741198782118,6.067575543511339e-05,3.4420613769798347
34,970.3305029662536,970.3304392465263,6.371972722263308e-05,3.462415719184198
35,973.9739060913358,973.9738411788769,6.491245892448205e-05,3.4884659352897054
36,1027.4832598666842,1027.4831954667322,6.439995195250958e-05,3.882302331730152
37,1028.0026481676032,1028.002583119939,6.504766429316078e-05,3.88622829750862
38,1028.4399335753135,1028.4398690510536,6.45242598693585e-05,3.8895352002033965
39,1058.1430334579202,1058.1429526570566,8.080086354311788e-05,4.117452492330917
40,1059.5959475597401,1059.595870283368,7.727637216703442e-05,4.128767431217782
41,1059.837973733753,1059.8379073509366,6.638281638515764e-05,4.130653780274694
42,1060.6327276119628,1060.632660460493,6.715146969327179e-05,4.136851112451393
43,1066.2502436787227,1066.2501749390606,6.873966208331694e-05,4.180787845379297
44,1076.0169359585527,1076.0168677876147,6.817093799327267e-05,4.257729404377647
45,1147.7427545737019,1147.7426824994138,7.207428802757931e-05,4.844276934208734
46,1148.7433434358807,1148.7432628452443,8.05906363439135e-05,4.8527269851667585
47,1151.4396848236238,1151.4394290412106,0.00025578241320545203,4.875534455343211
48,1177.763441403157,1177.7633679887997,7.341435730268131e-05,5.101007730552756
49,1180.4881395163118,1180.488064192232,7.532407971666544e-05,5.124636895184416
50,1181.7487649111079,1181.748692214539,7.269656885000586e-05,5.135587783368655
51,1213.79484916182,1213.794773004904,7.615691583851003e-05,5.4178929946832985
52,1215.3290914995034,1215.3290167853268,7.471417666238267e-05,5.43159813480743
53,1216.9511281233765,1216.9510536740152,7.44493613638042e-05,5.446106353947066
54,1218.724451574661,1218.7243749061238,7.666853730370349e-05,5.4619898917951595
55,1219.3003553479105,1219.3002805791189,7.476879159185046e-05,5.467153198070601
56,1221.604253003635,1221.604176117901,7.688573396080756e-05,5.487833355145773
57,1405.1950889470866,1405.1950030941643,8.585292221141572e-05,7.261278423952918
58,1408.1096906268506,1408.1096014097648,8.921708581510757e-05,7.291431792635618
59,1409.2696321635408,1409.2695459387041,8.622483665021718e-05,7.303449490086842
60,1456.533462068313,1456.5333706560646,9.141224836639594e-05,7.8015478375177
61,1458.0713113102888,1458.0712208956868,9.041460202752205e-05,7.818030724380093
62,1458.8943648261986,1458.8942760129698,8.881322878551146e-05,7.82685947472472
63,1460.9747996220985,1460.9747101872144,8.943488410295686e-05,7.849198146318504
64,1463.8663234324772,1463.8662336307111,8.980176608019974e-05,7.880298755515046
65,1465.9219322282752,1465.9218429552905,8.927298472372058e-05,7.9024458390640335
66,1634.076162287412,1634.0760629338304,9.93535816178337e-05,9.819388253083876
67,1637.0949412755115,1637.094840877798,0.00010039771336778358,9.85570228095329
68,1638.8043057085506,1638.8042043456078,0.00010136294281437586,9.876294589761974
69,1641.6315875267146,1641.6314875550026,9.99717119611887e-05,9.910401352366096
70,1644.5350726389333,1644.5349723519435,0.00010028698989117402,9.94548857815787
71,1645.5978797765308,1645.5977788499815,0.00010092654929394484,9.958347594646629
72,3187.2166861653,3187.216492523444,0.0001936418561854225,37.35622854793692
73,3191.2009752324257,3191.2007812138286,0.00019401859708523261,37.449683783446744
74,3191.4047593637374,3191.404565382444,0.0001939812932505447,37.45446686981982
75,3192.9984965276763,3192.9983023564437,0.0001941712325788103,37.491884549539606
76,3196.937539755262,3196.9373454754477,0.00019427981442277087,37.58444534976812
77,3197.045795376069,3197.0456011365673,0.00019423950152486213,37.58699078351627
78,3201.573406065146,3201.5732113926406,0.00019467250558591331,37.69352648857883
79,3202.742491625064,3202.742296970744,0.000194654319784604,37.7210598277645
80,3209.4652648932465,3209.465069903856,0.00019498939036566298,37.87958414543775
