mode_index,freq_from_hessian_cm1,freq_reference_cm1,abs_diff_cm1,omega2_raw
0,8.139390529893094,0.0,8.139390529893094,-0.00024362598947243422
1,6.26333647035923,0.0,6.26333647035923,-0.00014426179402257918
2,4.500969843759117,0.0,4.500969843759117,-7.449927550622033e-05
3,0.46643698220374247,0.0,0.46643698220374247,-8.000659664984763e-07
4,0.1796118423399353,0.0,0.1796118423399353,-1.1863416507179785e-07
5,1.127881062892994,0.0,1.127881062892994,4.6780671638596086e-06
6,12.087954360505371,11.934171786358798,0.15378257414657348,0.0005373354161112423
7,20.903892558618224,20.814833639849986,0.08905891876823802,0.0016069196889307825
8,31.357160602645887,31.34365331581202,0.013507286833867482,0.0036158741257879927
9,38.69579984656844,38.68491556305315,0.010884283515288473,0.005506396733733447
10,50.75954038475909,50.75469729602416,0.004843088734929779,0.009474912433601154
11,51.57841285651569,51.569778761800194,0.008634094715496587,0.009783084195486954
12,56.94752979955715,56.94480838589643,0.00272141366072276,0.011925857726466867
13,60.96312063798567,60.947937285011655,0.015183352974013076,0.013667032365083867
14,65.58693512951706,65.58134073127167,0.00559439824539254,0.015818835746139976
15,75.52409729795725,75.52216153266168,0.0019357652955704907,0.02097543272195585
16,85.75343671065106,85.74986589348276,0.003570817168295548,0.027042255464076705
17,112.89368311977252,112.89308616999803,0.0005969497744899854,0.04686829198775103
18,120.279235292992,120.27807023438032,0.0011650586116758177,0.05320116707353694
19,124.8058443800955,124.8054749348879,0.00036944520759618626,0.05728088096110995
20,136.78041047960986,136.77979732108216,0.0006131585276989426,0.06879987487077671
21,174.120336162867,174.12008161814052,0.00025454472648789306,0.11149074996115674
22,181.6169919661713,181.6166845862177,0.00030737995359686465,0.12129776526797768
23,202.59394142872753,202.5938066802882,0.00013474843933636294,0.15093597003108608
24,360.10506439853776,360.10501977157185,4.462696591644999e-05,0.47686813287489926
25,368.7192799692342,368.7191569088129,0.0001230604212878461,0.4999557147892005
26,379.0041642463561,379.0041306707099,3.357564617090247e-05,0.5282357698178151
27,380.4056077164269,380.40557353750967,3.417891724666333e-05,0.5321495065517614
28,391.3782297201607,391.3781780255348,5.1694625881282263e-05,0.5632914664243254
29,397.69046486654105,397.69039780408866,6.7062452387745e-05,0.5816077696881871
30,402.6930895246765,402.6929734679507,0.00011605672580117243,0.5963321124581147
31,406.77306193183455,406.77301561020727,4.632162728057665e-05,0.6084770633185874
32,434.6193282229918,434.61928185204096,4.637095082671294e-05,0.6946370046664493
33,464.7788592328626,464.7788258154718,3.341739079587569e-05,0.7943878155432865
34,472.20896567598874,472.20892206372366,4.3612265073988965e-05,0.8199895168364405
35,481.07148181909685,481.0714478591519,3.395994497168431e-05,0.8510578223788181
36,519.9600170057116,519.959930616323,8.638938857075118e-05,0.9942136958528619
37,535.6875001712232,535.6874372700908,6.29011324235762e-05,1.0552682413373962
38,564.9167421722291,564.9166738391267,6.833310237652768e-05,1.1735692856463598
39,639.560774491967,639.560706761951,6.77300159850347e-05,1.5041927200202712
