mode_index,freq_from_hessian_cm1,freq_reference_cm1,abs_diff_cm1,omega2_raw
0,26.42549736395128,0.0,26.42549736395128,-0.002567947750969454
1,24.96845165539476,0.0,24.96845165539476,-0.0022925724350391606
2,22.300416758085298,0.0,22.300416758085298,-0.0018287982676844464
3,16.304662722543302,0.0,16.304662722543302,-0.0009776051523562486
4,13.9714353003448,0.0,13.9714353003448,-0.0007178304729117189
5,12.58817054525599,0.0,12.58817054525599,-0.0005827269169111647
6,1.4187474160074895,-26.384385175289506,27.803132591296993,-7.402015838106358e-06
7,0.40362314477032046,-24.7847776096054,25.18840075437572,-5.990898567442769e-07
8,0.15363628787510958,-21.647178028720482,21.80081431659559,-8.680154463332191e-08
9,2.3772893539539703,-8.913915601701085,11.291204955655054,2.078279404935013e-05
10,15.442277792446012,13.617110342623183,1.8251674498228283,0.0008769252281533989
11,26.05758958538231,25.1134794906652,0.9441100947171108,0.0024969412381827946
12,30.579291710246476,30.038477735696983,0.5408139745494935,0.003438703151856784
13,32.10618238374127,32.00988951274707,0.0962928709941977,0.0037906804879839474
14,40.063021986306154,39.57842962210399,0.48459236420216456,0.005902381187647786
15,46.94646569611267,46.88562312874076,0.06084256737190685,0.008104862436658764
16,60.64756559570963,60.646173647525245,0.0013919481843842618,0.013525912969968327
17,72.39429360343834,72.35640375854753,0.03788984489081315,0.01927296410245987
18,83.9718159434145,83.97027433133927,0.0015416120752291818,0.0259302636937409
19,86.01624972842865,86.01507618458996,0.0011735438386892838,0.027208265077739394
20,96.6823129884516,96.6809176488256,0.0013953396260006912,0.03437430344140214
21,222.40840562168484,222.4038701822211,0.004535439463722923,0.18190399470430163
22,224.71681134237548,224.71431352685804,0.002497815517443769,0.18569960091614146
23,229.3463354902821,229.3456405695319,0.0006949207501918409,0.19342983154817148
24,337.34143483604396,337.3414058173674,2.9018676571013202e-05,0.4184843472643386
25,339.0024567780104,339.0023772355272,7.954248320629631e-05,0.42261560970331735
26,343.32541763899235,343.3253595036016,5.8135390759161965e-05,0.4334627250871338
27,419.42462050512086,419.42458899315375,3.151196710859949e-05,0.6469156884810142
28,420.029700253281,420.02966875249206,3.150078896396735e-05,0.6487835708775321
29,421.8675774270577,421.86754942629847,2.800075924369594e-05,0.6544736123530343
30,450.2691208920129,450.26877401362344,0.0003468783894504668,0.7455626988039868
31,451.9774565943284,451.9771051694931,0.00035142483528716184,0.751230809241967
32,452.9096016564996,452.90939536919467,0.00020628730493399416,0.7543326373220097
33,455.02640522662114,455.02613176926405,0.00027345735708195207,0.7614002972069254
34,456.65047402095064,456.65038819940384,8.582154680425447e-05,0.7668451382509064
35,457.4322679488867,457.4321026382994,0.00016531058730606674,0.7694730915634633
36,518.6262200163811,518.6261686218689,5.1394512183833285e-05,0.9891195410432272
37,519.6486330031923,519.6485867837982,4.621939410753839e-05,0.9930232599292533
38,522.8498089513814,522.8497619402077,4.7011173705868714e-05,1.0052955271359991
39,604.4054203184025,604.4053777610445,4.255735802871641e-05,1.343372778836046
40,605.8621204639323,605.8620683412273,5.212270502852334e-05,1.3498560082880307
41,606.0703974305924,606.0703549064975,4.252409485161479e-05,1.3507842466765982
42,761.0210878210377,761.0210400803029,4.774073477165075e-05,2.1297725503432
43,761.3600330947502,761.359985882139,4.721261120721465e-05,2.131670098537398
44,762.900995399904,762.900948504712,4.689519198564085e-05,2.1403076610610547
45,765.1402116886107,765.1401561736163,5.5514994414807006e-05,2.1528902773747967
46,772.9630854677528,772.9630317295105,5.3738242286272e-05,2.197138076012916
47,779.956244182588,779.9561927685261,5.141406188613473e-05,2.237073851642678
48,780.9609969354341,780.9609473530018,4.9582432325223635e-05,2.2428412364003303
49,781.8697013076705,781.8696530448619,4.826280860470433e-05,2.2480636876417672
50,783.6797124315357,783.6796643879744,4.804356126442144e-05,2.258484171057623
51,819.2396686254237,819.2396050420554,6.358336838729883e-05,2.4680945293129
52,822.1367147883385,822.1366367862114,7.800212711117638e-05,2.4855810513210868
53,824.4789537860514,824.4788714007152,8.238533621351962e-05,2.499763894281678
54,917.7195080394487,917.7194472006059,6.0838842728117015e-05,3.0971323906621384
55,923.5591514585942,923.5590940872838,5.7371310390408325e-05,3.1366732124933816
56,929.363509877894,929.3634512655337,5.86123602488442e-05,3.1762236560089105
57,948.5851381588169,948.5850772613778,6.089743908432865e-05,3.3089672982511695
58,952.619571000227,952.6195125385665,5.846166050105239e-05,3.3371739290946256
59,953.6060435942684,953.605980720577,6.287369137680798e-05,3.344089040293785
60,1042.9906745292096,1042.9906068530606,6.767614900127228e-05,4.000374900092855
61,1044.1951885239482,1044.195124463734,6.406021429938846e-05,4.009620025736409
62,1045.5922315938735,1045.592165144159,6.644971449532022e-05,4.020356254304179
63,1052.2782616158493,1052.2781930633512,6.85524980781338e-05,4.071936907775207
64,1069.8563673485646,1069.856295808638,7.15399266937311e-05,4.209115028075849
65,1075.527449706496,1075.5273820222055,6.768429057046887e-05,4.2538565546030975
66,1085.3242864263486,1085.3242138694725,7.255687614815542e-05,4.331705132270598
67,1097.6867761781436,1097.6867082172025,6.796094112360151e-05,4.430948552748183
68,1098.6330245945737,1098.6329574865279,6.710804586873564e-05,4.438591143167774
69,1161.0179464081264,1161.017871960434,7.444769244102645e-05,4.956986186816646
70,1176.959213320998,1176.9591413560659,7.196493220362754e-05,5.094043729327197
71,1181.8276850636375,1181.8276128974603,7.216617723315721e-05,5.13627374119108
72,1238.8893601021286,1238.8892836980717,7.640405692654895e-05,5.644232422791582
73,1248.7402793723372,1248.740203112413,7.625992429893813e-05,5.7343485097816975
74,1250.2828495557794,1250.2827706480564,7.890772303653648e-05,5.748524553735759
75,1330.9161988596318,1330.916117523709,8.133592268677603e-05,6.513902666860305
76,1334.9695702961612,1334.9694889686725,8.132748871503281e-05,6.553639914425353
77,1337.842644915566,1337.8425632047924,8.171077365659585e-05,6.581879296928642
78,1382.0443643783299,1382.0442797473224,8.463100743938412e-05,7.023988819830002
79,1393.5403966173333,1393.5403116833886,8.493394466313475e-05,7.141327800282785
80,1394.8120509392757,1394.811964175178,8.676409765939752e-05,7.1543671694832724
81,1407.6592793623204,1407.659192195445,8.71668753461563e-05,7.286767926194937
82,1414.1206589410995,1414.1205721975143,8.674358514326741e-05,7.353816298495145
83,1416.5359287544686,1416.535842449064,8.630540469312109e-05,7.378957885080437
84,1696.9979483293864,1696.9978451335262,0.00010319586021978466,10.59015892215617
85,1699.140073189833,1699.1399699489407,0.00010324089225832722,10.616911766108418
86,1700.7500335618984,1700.7499301922344,0.00010336966397517244,10.63704065993055
87,1719.8521225128632,1719.8520176995548,0.00010481330832590174,10.87732378471139
88,1720.3481427719034,1720.3480377720152,0.00010499988820811268,10.883598918400951
89,1722.1710051635546,1722.1709003549763,0.0001048085782713315,10.906675426482995
90,1774.3396353180083,1774.3395271352867,0.00010818272153301223,11.577461643391766
91,1779.458917123639,1779.4588082950117,0.00010882862716243835,11.644364041649293
92,1783.5090795785786,1783.5089704131697,0.00010916540895777871,11.697431001466247
93,1797.4480423864286,1797.44793309709,0.00010928933852483169,11.880987355634273
94,1798.1534305966195,1798.1533212714264,0.00010932519307971234,11.890314304358983
95,1799.7476101888997,1799.7475006496265,0.0001095392731258471,11.911406719095908
96,3194.7078973273456,3194.7077031724407,0.00019415490487517673,37.53203853816364
