compound,rmsc,reuc,rpcc,rscc
01a-water,0.9807731754764549,0.9810460514769197,0.9895421987972766,0.9987039360849441
01b-water,0.9808208979135474,0.9810924316496065,0.9895621138863825,0.9986810079713953
01c-water,0.9806027163599097,0.980880413364906,0.9894520663914937,0.998699164976372
02a-formaldehyde,0.9799240175946947,0.9802213215983244,0.9886532684474576,0.9939593840295546
02b-formaldehyde,0.9735024369414471,0.974017633455022,0.9849956753393554,0.9949383150838975
02c-formaldehyde,0.9738957132315282,0.97439589104493,0.9852126119175607,0.994920509939981
03a-methanol_ethyne,0.9967073176480732,0.9967154267111192,0.9981919797916813,0.9995566782966926
03b-methanol_ethyne,0.9977741484479531,0.9977778573787994,0.9986012897673732,0.9983980361731154
03c-methanol_ethyne,0.9902977081647658,0.9903677424480569,0.9940373155637129,0.9980638271841333
04a-acetonitrile,0.9952282980887429,0.995245307288509,0.997209062216818,0.9979089537960335
04b-acetonitrile,0.995287279767134,0.9953038718864766,0.9972416646842011,0.9980802479290222
04c-acetonitrile,0.9944241265068794,0.9944473363993869,0.9967768566359905,0.9976752715869007
05a-nitromethane,0.9987751360465437,0.9987762601178776,0.9993542819915834,0.9948988508120347
05b-nitromethane,0.9990234312919168,0.9990241459751003,0.9994841070569155,0.9981674571986686
05c-nitromethane,0.9979456275333658,0.9979487874576723,0.9989339605541034,0.9978146134380945
06a-acetic_acid,0.9973961788124215,0.9974012527147169,0.9984421847717455,0.9978214089655996
06b-acetic_acid,0.9985442250179332,0.9985458125524571,0.9991774724795243,0.9976211129001856
06c-acetic_acid,0.9989526406135782,0.9989534626173533,0.9993974435210244,0.9981516635458825
07a-oxalic_acid,0.9987861436655231,0.9987872476341286,0.999285717428893,0.9987793021759551
07b-oxalic_acid,0.9984648603664231,0.9984666255982605,0.9990532267940072,0.9993057421551658
07c-oxalic_acid,0.9993823379647087,0.9993826239472949,0.999631471294082,0.9987872850003389
08a-vinylene_carbonate,0.9990122768686617,0.9990130079645979,0.9995078149148325,0.9921986295030439
08b-vinylene_carbonate,0.9991287069338407,0.999129275884423,0.9995668100844589,0.997659915605806
08c-vinylene_carbonate,0.9984708662023715,0.9984726176579591,0.9992095333573628,0.9982470651077858
09a-acetamide,0.9945928839376483,0.9946147132233567,0.9967360414275339,0.999241181084039
09b-acetamide,0.9934525314945152,0.9934845089592438,0.995858317592605,0.9984777422585881
09c-acetamide,0.9921372544843187,0.9921833195885807,0.9951219431898062,0.9988626242989476
10a-imidazole,0.9684991913755857,0.9692243455396847,0.9829748831257875,0.9963339110874454
10b-imidazole,0.9778225737600184,0.9781847501910348,0.9871683255981858,0.997367558597607
10c-imidazole,0.989986937664473,0.9900615111043993,0.9955596185288104,0.991074145256789
11a-isoxazole,0.9970653771485312,0.9970718203972018,0.998474229031996,0.9975209209316861
11b-isoxazole,0.997666895409313,0.9976709700189309,0.9987671948440832,0.9978169528082744
11c-isoxazole,0.9974415416972817,0.9974464405328298,0.9987290897703306,0.9982022605293204
12a-pyrazole,0.9827336817667025,0.9829541013143696,0.9917865563296429,0.9890526165310244
12b-pyrazole,0.9649637815236684,0.9658582632288258,0.9798240267052909,0.9956828493401385
12c-pyrazole,0.9933158892942533,0.9933492116150915,0.9967986448498001,0.9818356983093055
