compound,rmsc,reuc,rpcc,rscc
01a-water,0.9847611361008787,0.9849331173692009,0.9919404076541973,0.9715887276306858
01b-water,0.9847471930112094,0.9849194871582299,0.9919328179739098,0.9590601122208202
01c-water,0.9850268882288634,0.9851929597838248,0.9920826426135688,0.968032514922244
02a-formaldehyde,0.9980004176447884,0.9980034114028475,0.9989609809776118,0.99453736397235
02b-formaldehyde,0.9985117262556056,0.9985133854167416,0.9992453064075904,0.9937191451762246
02c-formaldehyde,0.9985605822846465,0.9985621343652659,0.9992694598125524,0.9938300981351362
03a-methanol_ethyne,0.9935966348658627,0.9936272238911535,0.9965044648231348,0.9947362660834039
03b-methanol_ethyne,0.9866526276213281,0.9867847709234663,0.9923252210232297,0.9971892021372466
03c-methanol_ethyne,0.9842358678496427,0.9844198298321954,0.990914739924683,0.9952771820163397
04a-acetonitrile,0.9998607552154894,0.999860769755635,0.9999267361958991,0.9983787808670019
04b-acetonitrile,0.9998637340859825,0.9998637480107005,0.9999281749124801,0.997793086773284
04c-acetonitrile,0.9982417457544278,0.9982440609553135,0.9990690947413505,0.9939707136559188
05a-nitromethane,0.9937700798161531,0.993799038349279,0.9967590737071628,0.998865793671522
05b-nitromethane,0.9937497402824284,0.9937788877208558,0.9967935887576426,0.9985229149983869
05c-nitromethane,0.9974245326448078,0.9974294967631734,0.9986815234405308,0.9987352790737847
06a-acetic_acid,0.9935577859879197,0.9935887463053861,0.9964931412004217,0.9967212765774072
06b-acetic_acid,0.9919999054416413,0.9920475885361187,0.9955553784692216,0.9782823186632125
06c-acetic_acid,0.9878368639295056,0.9879467061868992,0.9933686576018889,0.9949455432243886
07a-oxalic_acid,0.9966567881839373,0.9966651476886573,0.9981722526728523,0.9878927022367344
07b-oxalic_acid,0.9957597306841943,0.995773168103421,0.9977208104600168,0.9869513800335521
07c-oxalic_acid,0.9691742659821614,0.9698690547854224,0.9827226900238023,0.9758998149638002
08a-vinylene_carbonate,0.9864416743853842,0.9865780039666668,0.9926859765928359,0.99390297553048
08b-vinylene_carbonate,0.9945201885469932,0.9945426073884603,0.9970329830424597,0.9959330577775344
08c-vinylene_carbonate,0.9748569433729618,0.9753213287651401,0.9862540041028702,0.9941033626525901
09a-acetamide,0.9827936585492408,0.9830125602526629,0.9901784292339962,0.9967394028554329
09b-acetamide,0.9785334708472253,0.9788729983024208,0.9877985309787312,0.9971261146482493
09c-acetamide,0.9679350320058113,0.9686860475077095,0.9817746599464899,0.9980274646480807
10a-imidazole,0.9595928076577996,0.960777379154824,0.9774106557117668,0.9970711881624793
10b-imidazole,0.968189774668093,0.9689290580039259,0.9825199456150338,0.9972050521852294
10c-imidazole,0.9655835856956212,0.9664471350466455,0.9816481129771616,0.9964557367030055
11a-isoxazole,0.9769763467511309,0.9773664189217622,0.9872600579325,0.9883508719896485
11b-isoxazole,0.9800666545183058,0.9803597832766239,0.9889619826478016,0.9898078641883756
11c-isoxazole,0.9769968097042093,0.9773861953393379,0.9874072150497638,0.9890737401856431
12a-pyrazole,0.9392590957764733,0.9418924045277329,0.9662667387016624,0.9934796655034142
12b-pyrazole,0.9459296648180521,0.9480275290741099,0.9709881229641434,0.9916099766287811
12c-pyrazole,0.9793745128474569,0.9796881731437624,0.989024383181549,0.9933089345729531
13a-triazine,0.9968043718823948,0.9968120105659007,0.9983474884771013,0.9510595924856865
13b-triazine,0.996717190578487,0.9967252511514243,0.9982813451727645,0.9955672429343937
13c-triazine,0.9979024136502088,0.9979057077927508,0.9989121618042703,0.9965336870430067
14a-cyanoacetamide,0.97775343288633,0.9781178504273568,0.9870690979866689,0.9930187588035523
14b-cyanoacetamide,0.9664597064853545,0.9672804344566642,0.9800299486487722,0.9846613530275601
14c-cyanoacetamide,0.987708288877833,0.9878204537535097,0.9927877419899953,0.9882918953544971
15a-cyanoguanidine,0.9873235375907002,0.9874427963592146,0.9927631162318883,0.9841312829588702
15b-cyanoguanidine,0.9632537547319688,0.9642363156083245,0.9780518849105089,0.9820893054472511
15c-cyanoguanidine,0.9470050334000881,0.9490220221927345,0.9687755225413527,0.9735010473393645
16a-triazolidinedione,0.8949893793010939,0.9025902623291354,0.9406586133368514,0.9903931882471658
16b-triazolidinedione,0.8673429621705306,0.8792174877246488,0.9222117462602889,0.9888050687852773
16c-triazolidinedione,0.9375020261415842,0.9402859783433704,0.9654330875069962,0.9926109780650787
17a-oxazolidinone,0.9861000087232473,0.986243255409847,0.9925292713013698,0.9947871851377483
17b-oxazolidinone,0.9910118748420502,0.9910720139515898,0.9949805692345683,0.9980404209292502
17c-oxazolidinone,0.9971650845966155,0.9971710979471526,0.9985031665013989,0.9956468049404439
18a-succinic_anhydride,0.9983814109997556,0.9983833732255719,0.9991478744270952,0.9926147968255311
18b-succinic_anhydride,0.9995988532444773,0.9995989738931849,0.9997883534095986,0.9934898055845858
18c-succinic_anhydride,0.9983865415806054,0.9983884913947914,0.9991459754090559,0.993028837805541
19a-benzene,0.9996317940991326,0.9996318957496305,0.9998136808410881,0.9970613283710555
19b-benzene,0.9996839266799189,0.9996840015869464,0.9998385992051263,0.9973804727228988
19c-benzene,0.9994687867839415,0.9994689983309024,0.9997281083004896,0.9976300357069651
20a-maleic_acid,0.9776135893355811,0.9779825604597968,0.9868262482951973,0.9952453236016332
20b-maleic_acid,0.9714852205176521,0.9720808621625876,0.9840694384787134,0.9871801644791198
20c-maleic_acid,0.9327212100218333,0.9359351057523463,0.9601570273816669,0.9927642697646427
21a-p-benzoquinone,0.9910689964080414,0.9911283763597751,0.995188449075366,0.982927950358737
21b-p-benzoquinone,0.982459963068751,0.9826873752821262,0.9904984945468346,0.9889524938855241
21c-p-benzoquinone,0.9897271344830162,0.9898056110856785,0.994486725009008,0.9908778287062415
22a-uracil,0.9464989480235765,0.9485538086821186,0.9681171243676165,0.9934780425957976
22b-uracil,0.9524479016623357,0.95407898334766,0.9710508047568237,0.9928038314634234
22c-uracil,0.9869958989816159,0.9871213682441827,0.993090083147822,0.993868302039932
23a-cyclobutylfuran,0.9882970368028552,0.9883987635438367,0.9936827621493289,0.9928473245256899
23b-cyclobutylfuran,0.99631343771016,0.996323599541048,0.9980199445027899,0.9939119056442784
23c-cyclobutylfuran,0.9901472726431542,0.990219486557312,0.9946708111079053,0.9938052224200319
