compound,rmsc,reuc,rpcc,rscc
01a-water,0.8072543727671205,0.8312183767756919,0.8858997314738266,0.9891750446945983
01b-water,0.7981326257606276,0.8242428783958923,0.8801235757251676,0.9888215811489405
01c-water,0.809571735210084,0.8330029694360969,0.8874352989646005,0.9894293122746297
02a-formaldehyde,0.9162451143893988,0.9211613619763855,0.9521636755808431,0.9909832369493832
02b-formaldehyde,0.9302202902845815,0.9336706976120649,0.9604333393762436,0.991689431839941
02c-formaldehyde,0.9322412158399355,0.9354998891949483,0.9616073817700007,0.9915122471256248
03a-methanol_ethyne,0.9089314831883856,0.9147105279021136,0.9461462444146326,0.9945049642761722
03b-methanol_ethyne,0.7517281071672217,0.7899175590834526,0.8318795553344683,0.979445335068032
03c-methanol_ethyne,0.6903136675752716,0.7472179251929862,0.7904975281206289,0.9708953260185702
04a-acetonitrile,0.9529962130524011,0.9545906011469372,0.97232399634504,0.9956886676007158
04b-acetonitrile,0.9537349494429036,0.9552805356269471,0.9727665831303656,0.995830959801279
04c-acetonitrile,0.8205125653770704,0.8414979482205635,0.8909209977268719,0.9902864426322202
05a-nitromethane,0.8527785010966384,0.8672426211652968,0.9185999801003304,0.9920402247638989
05b-nitromethane,0.8396259432287548,0.8566206390315086,0.9110080515040828,0.9939906955420064
05c-nitromethane,0.4131410357687482,0.5832675568990056,0.6201466233096473,0.9924196938021864
06a-acetic_acid,0.9538244006911776,0.9553641271489296,0.9718180650263585,0.9951218844464294
06b-acetic_acid,0.4675309667858546,0.6125667040068246,0.6374507506700493,0.9806025673116953
06c-acetic_acid,0.5219827060882257,0.6430733402617205,0.6624706101734177,0.9583123403931624
07a-oxalic_acid,0.5052546647399978,0.6335631436865022,0.659939114192438,0.9642840888353622
07b-oxalic_acid,0.7746293143361938,0.8066211107893638,0.8521000054294682,0.9812453284729791
07c-oxalic_acid,0.6905828397134601,0.7473988358860958,0.7976554516919586,0.9729917353869927
08a-vinylene_carbonate,0.9089010908692358,0.9146838558402514,0.9503799633192906,0.9858134881571959
08b-vinylene_carbonate,0.9662736396980962,0.9671033733441213,0.981843846907449,0.9935997805271317
08c-vinylene_carbonate,0.9875210197106673,0.9876366104939132,0.9933636221473567,0.991394187060431
09a-acetamide,0.8875858833040431,0.8962464991979043,0.9304301055574022,0.9913060593547264
09b-acetamide,0.9514039593855148,0.9531060110814844,0.9690296900855259,0.995101063752053
09c-acetamide,0.9359896210528719,0.938906421652437,0.9597834453181872,0.9946489743755964
10a-imidazole,0.1775561304978206,0.4635527471487333,0.3111383760044256,0.9618679254474237
10b-imidazole,0.359413861780005,0.555254084979099,0.5196878988658103,0.9818805665899865
10c-imidazole,0.5099701055996487,0.6362309979288814,0.6977121704060809,0.9908770286813602
11a-isoxazole,0.7727609279540091,0.8052414334200696,0.8709246258747618,0.986822397661454
11b-isoxazole,0.03225112758613219,0.37866911134183606,0.08484233825150987,0.780964461845558
11c-isoxazole,0.5040737739408804,0.6328965960069228,0.6852962044531509,0.9890744259212556
12a-pyrazole,0.08814907325777499,0.4155927390413669,0.2507714150381107,0.9756821463674559
12b-pyrazole,0.35777571184132384,0.5544119604829443,0.5197453089082636,0.9703942631283705
12c-pyrazole,0.018058728954713353,0.3661348063918979,0.10078286309585736,0.9562031184482739
