compound,rmsc,reuc,rpcc,rscc
01a-water,0.801218800831388,0.8265941963656983,0.889417877730184,0.9331978287287248
01b-water,0.7937994646670374,0.8209563813000735,0.8850371939601741,0.9293931256691073
01c-water,0.8150563188024624,0.8372470387893762,0.8975392401831159,0.9338035626026024
02a-formaldehyde,0.9244149712989969,0.9284447846591811,0.959585861234018,0.9385280209183084
02b-formaldehyde,0.9891587008757401,0.9892460614461397,0.9943079509995917,0.9562465762869626
02c-formaldehyde,0.9889670951178535,0.9890575566102007,0.994210692430952,0.959388082327244
03a-methanol_ethyne,0.9577266339162727,0.9590211917469239,0.976457518602848,0.994155830045487
03b-methanol_ethyne,0.9283278293632162,0.9319624641710845,0.9581118033632092,0.988785825470169
03c-methanol_ethyne,0.9006878134418593,0.9075163489691873,0.9413221081854315,0.980116850472539
04a-acetonitrile,0.8378465826282213,0.855197307142788,0.909876184343181,0.9963902828640664
04b-acetonitrile,0.8359011687519539,0.8536448285672248,0.9087359537414164,0.9963665221250907
04c-acetonitrile,0.9863299542532171,0.9864685270154623,0.9926922835867803,0.9876743806926827
05a-nitromethane,0.897109244799937,0.904418372847023,0.9439140587385298,0.9932083182352838
05b-nitromethane,0.7986176708348179,0.8246118418652322,0.887014772646395,0.9924761746220115
05c-nitromethane,0.49609128486625653,0.6284071287076067,0.6856104079276957,0.9872996441669191
06a-acetic_acid,0.9873563736263642,0.9874750185767973,0.9930445971271536,0.9961133105029588
06b-acetic_acid,0.7756554421721306,0.8073801398408122,0.8673387550429628,0.973239336904904
06c-acetic_acid,0.8327090388943079,0.851105733109656,0.9037402628776647,0.9734606080488873
07a-oxalic_acid,0.4914308634754433,0.6257989107697723,0.6717430261737177,0.964042304641231
07b-oxalic_acid,0.6691333745637382,0.7331439897763921,0.7941358839417565,0.9720490964215466
07c-oxalic_acid,0.5643662363158441,0.6677735032964327,0.7241555929892133,0.9619889780178642
08a-vinylene_carbonate,0.7794395987390574,0.8101873145926253,0.8725376105586428,0.9907580466202789
08b-vinylene_carbonate,0.8353052142651475,0.8531700120135758,0.9061703587172012,0.9933805682762217
08c-vinylene_carbonate,0.7918567886508376,0.8194885575434543,0.8796769736045198,0.9906831834020503
09a-acetamide,0.9203391930075333,0.9248009311896588,0.9537049802446196,0.9945039150632131
09b-acetamide,0.9315336033990299,0.9348588220542703,0.9605802799203969,0.9968182322860064
09c-acetamide,0.8888395507927154,0.8973162852200209,0.935310227915184,0.9972367245519952
10a-imidazole,0.8333456813605226,0.8516113143114997,0.9026912097436393,0.9873363491960592
10b-imidazole,0.8578667882949803,0.8714004393987307,0.9188079384842408,0.9877930779673895
10c-imidazole,0.6883059611166843,0.7458701929024931,0.8180350926904727,0.9969662724873503
11a-isoxazole,0.6158604408768094,0.699073634693008,0.7636211208702912,0.9826211929026737
11b-isoxazole,0.5100197582308552,0.6362591433790122,0.68412681759714,0.8756336792863251
11c-isoxazole,0.5613235858706944,0.6659698964839359,0.7261166130162753,0.9855239737666781
12a-pyrazole,0.5772500519936251,0.6754654928727291,0.73634764872162,0.9918987569449464
12b-pyrazole,0.870600099024881,0.8819268201262718,0.9274992657160714,0.9820873059471262
12c-pyrazole,0.6915236798393761,0.748031586318137,0.8206575301633479,0.9905431415759253
13a-triazine,0.9807457716599445,0.9810194199054612,0.9899717504648846,0.9570915801784186
13b-triazine,0.9823284047761539,0.9825592161825125,0.9908344949076614,0.9946209661977307
13c-triazine,0.9970396093100713,0.9970461660665828,0.9984858770877486,0.9956826301295738
14a-cyanoacetamide,0.8976023350110567,0.9048443509803085,0.9391113061321593,0.9858666693896241
14b-cyanoacetamide,0.6429381410576309,0.716162300346579,0.7641704443122818,0.9238681424096749
14c-cyanoacetamide,0.8412805754836338,0.8579470979351886,0.9026732535458528,0.9796342996334874
15a-cyanoguanidine,0.5665879784110562,0.6690935898005421,0.7145818971271239,0.9657441061398817
15b-cyanoguanidine,0.7426382557009706,0.7834100295677023,0.8362399442828269,0.8734093084674857
15c-cyanoguanidine,0.7313503643494466,0.7754225184973913,0.8322736242521998,0.9072025095300386
16a-triazolidinedione,0.7641697090821152,0.7989364680995009,0.8608095833700565,0.9906624991053584
16b-triazolidinedione,0.8039369521560822,0.8286724830944575,0.8827847578830712,0.9839364656586975
16c-triazolidinedione,0.8885096125820112,0.89703456633187,0.9367081230093032,0.990192131689716
17a-oxazolidinone,0.9181476696753287,0.922850141956186,0.9542788541152145,0.9809971111045325
17b-oxazolidinone,0.8594016698051818,0.8726600423353466,0.9186239134883899,0.9870803852635041
17c-oxazolidinone,0.9621585904092991,0.9631996654131246,0.9795302199724067,0.9866588006296776
18a-succinic_anhydride,0.9270338651881566,0.9307970604301081,0.9607442450782566,0.9934503341930634
18b-succinic_anhydride,0.9669770204052979,0.9677729614890417,0.9824319540154598,0.9897193256033816
18c-succinic_anhydride,0.893554701980463,0.9013560029366606,0.9419936821147987,0.9871797305546176
19a-benzene,0.9901435852312586,0.9902158529875525,0.9948490568982362,0.9966580573747116
19b-benzene,0.998182782646822,0.9981852556106783,0.9990512176010955,0.99515719196138
19c-benzene,0.9959695945162295,0.9959817368507775,0.9978951516517329,0.9963731773203623
20a-maleic_acid,0.7364323848902085,0.7790059603738972,0.830163132988931,0.9767021928925562
20b-maleic_acid,0.8463292490058852,0.8620118164659716,0.9099275562595894,0.9861451831569842
20c-maleic_acid,0.7478408918473104,0.7871263206505091,0.843147608619025,0.8544681384001824
21a-p-benzoquinone,0.981314253765798,0.9815721020926677,0.9899023323688978,0.9788347759386987
21b-p-benzoquinone,0.9683494690542603,0.9690814435425691,0.9828507900795015,0.9867956519116096
21c-p-benzoquinone,0.9652825744956314,0.9661610802658752,0.9812504910123985,0.9828150522339429
22a-uracil,0.885899613717858,0.8948103924427493,0.9306323191323285,0.9910117869707985
22b-uracil,0.7990679002299452,0.8249545171355883,0.8748820978833638,0.9801901762190636
22c-uracil,0.8463573890111735,0.8620345459082421,0.9103639399255957,0.9727755268828968
23a-cyclobutylfuran,0.9381748714440066,0.9409006666492383,0.9659898465661956,0.9881929815522129
23b-cyclobutylfuran,0.9678759131197742,0.9686296641962302,0.9824311348522202,0.9879493683550624
23c-cyclobutylfuran,0.9640433343513337,0.9649847272388649,0.9803194901031935,0.9888245725300308
