name                  , frame_index, n_atoms, ref_energy_eV      , ref_forces_eVA_full                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , ref_dipole_x_eA, ref_dipole_y_eA, ref_dipole_z_eA, ref_alpha_xx_eA2V, ref_alpha_xy_eA2V, ref_alpha_xz_eA2V, ref_alpha_yy_eA2V, ref_alpha_yz_eA2V, ref_alpha_zz_eA2V, ref_fmax_eVA          , pred_energy_eV     , pred_forces_eVA_full                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , pred_dipole_x_eA      , pred_dipole_y_eA      , pred_dipole_z_eA      , pred_alpha_xx_eA2V , pred_alpha_xy_eA2V     , pred_alpha_xz_eA2V    , pred_alpha_yy_eA2V , pred_alpha_yz_eA2V     , pred_alpha_zz_eA2V , pred_fmax_eVA
01a-water             ,           0,       9, -6244.055391497005 , "-0.0005193184,0.0002535464,0.0002911819;0.0003299154,-0.0000241876,-0.0002646342;0.0001261202,-0.0002049449,0.0000422573;0.0002056650,-0.0001858636,0.0002651388;-0.0000759393,0.0001478180,-0.0001576989;-0.0001093931,-0.0001022915,-0.0001059628;0.0001517519,-0.0003965712,0.0003153668;-0.0000899839,0.0002265665,-0.0002774172;-0.0000188180,0.0002859277,-0.0001082318"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,    0.047488088 ,    0.0468483068,    0.024054774 ,      0.3227385458, 0.0020991933     , -0.0028155892    ,      0.2957791959, 0.0264959057     ,      0.2960829413, 0.0006471199861070047 , -6240.287719713615 , "0.0865901555,-0.0126306858,-0.1665702944;0.0288063639,0.1167421803,0.1110663423;-0.1150858698,-0.0989108752,0.0606531244;0.0592412239,0.0034231642,0.1787376446;-0.1552626268,-0.0329742716,-0.0427935201;0.0899463668,0.0245219104,-0.1361188682;-0.1303338050,0.0839367167,-0.1062950526;0.1206742169,-0.0919975640,-0.0603270951;0.0154239746,0.0078894250,0.1616477192"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , -0.036691832427366296 , -0.1387569407852944   , 0.179380562997662     , 0.3202919493009238 , 0.0024924385042421394  , -0.003089208767605449 , 0.29325175671371295, 0.026141855698577302   , 0.2941841599001475 , 0.18833052392853086
01b-water             ,           1,       9, -6244.055251163505 , "0.0005236965,-0.0004778277,-0.0004894382;0.0003110163,-0.0000162737,-0.0001669402;-0.0006128253,0.0007578936,0.0004260527;0.0000285338,0.0002442970,0.0000429036;0.0000386707,-0.0002493395,0.0000394696;-0.0000933823,0.0000882809,0.0001184896;-0.0000686259,-0.0001488326,-0.0000509900;-0.0001290436,-0.0001217958,-0.0000225684;0.0000019594,-0.0000764021,0.0001030215"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,    0.0474897535,    0.0468478904,    0.0240553986,      0.2693794841, -0.0006220348    , -0.0014783973    ,      0.3228048495, -0.0003717606    ,      0.322540448 , 0.0010637097632429345 , -6240.28772828299  , "0.1019770986,-0.1174216429,0.1063830533;0.0070208092,0.0069174816,-0.1631596704;-0.1084051638,0.1126812094,0.0495067479;-0.1233321835,-0.0234505744,-0.1404013502;0.0127601562,0.1386504210,0.0851496618;0.1069914010,-0.1104112910,0.0593702666;0.1395119178,0.1165819520,0.0453832945;-0.0304654292,-0.1399531583,0.0797777347;-0.1060586064,0.0164056026,-0.1220097383"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , -0.22281790619453948  , 0.05319643647945194   , -0.0241787631988866   , 0.2673311558394353 , -0.0011961085879779987 , -0.001193960199629479 , 0.3207241351934791 , -0.00030894453318404196, 0.3196726003420141 , 0.18842644423803281
01c-water             ,           2,       9, -6244.055431654317 , "-0.0045895044,-0.0023313706,-0.0017096955;0.0019040665,0.0011581691,-0.0011360111;0.0036271839,0.0012244477,0.0033865205;0.0000797891,-0.0018737504,0.0004677871;0.0001217059,0.0002987989,0.0001142490;-0.0013588912,0.0003217221,-0.0028664083;-0.0019231024,0.0021121734,-0.0009636107;0.0008959564,-0.0025637395,-0.0001316038;0.0012427961,0.0016535492,0.0028387728"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,    0.0474918355,    0.0468526789,    0.0240518593,      0.3222882145, 6.5253e-05       , -0.0017702958    ,      0.3209747562, -0.0111745814    ,      0.2715957139, 0.005424195628375139  , -6240.287642014878 , "0.0892651793,0.1122627908,0.1147503589;-0.1044615625,0.0434001562,-0.1167957812;0.0161110868,-0.1624133736,0.0073000376;-0.1372554694,0.0086695423,-0.1274006771;0.0072560928,-0.0985682627,0.1310572528;0.1361149526,0.0912128674,-0.0097050033;0.0468485391,-0.1263981400,0.1316838773;0.0911168395,0.0547560059,-0.1234707987;-0.1449956582,0.0770784137,-0.0074192663"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , -0.005756430499224226 , 0.010435717719899368  , -0.22739965837876014  , 0.31973855405999124, -0.00026252418438061265, -0.0018929931594483145, 0.31806709011271617, -0.011812017501609023  , 0.26998748405278056, 0.1884460637445191
02a-formaldehyde      ,           3,      12, -9353.910461667727 , "-0.0003358101,-0.0004245557,0.0000301742;0.0005959406,0.0005225968,0.0002082624;-0.0001910812,0.0000446883,0.0000396485;-0.0000551065,0.0001397107,-0.0003792090;0.0001690783,0.0004831296,0.0006833883;0.0011307059,-0.0003680526,-0.0013201907;-0.0002823254,-0.0002429623,-0.0000339594;-0.0011686250,-0.0002140685,0.0007354787;0.0004680843,-0.0001428895,-0.0001567512;-0.0006597466,-0.0001098298,0.0007454168;0.0002929566,0.0001108961,-0.0002484398;0.0000359293,0.0002013366,-0.0003038187"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,    0.0239198641,    0.0139146687,    0.0095511235,      0.5783782899, -0.0221667777    , 0.0088005581     ,      0.4851612401, 0.0288115644     ,      0.5923069023, 0.0017767560420688204 , -9348.244493178938 , "0.0092821213,0.0124958866,0.0282946665;-0.0037087785,0.0242356800,0.0210894714;-0.0047233439,-0.0634365783,0.0059559988;-0.0185102235,0.0201861834,-0.0504639283;0.0133556944,-0.0139114321,-0.0161120109;-0.0130491655,-0.0371900912,-0.0260793363;0.0614961974,0.0419721551,0.0076250124;-0.0445786677,0.0105983195,0.0359762660;-0.0268687681,0.0056743659,-0.0027884219;-0.0297672939,0.0161410850,0.0106411505;0.0370045580,0.0041238659,-0.0501822216;0.0200676700,-0.0208894397,0.0360433534"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , 0.22494390164634578   , -0.07647369122005258  , 0.0030635805048477294 , 0.5622093315178629 , -0.01942678549006654   , 0.008221659419157059  , 0.4885070755138036 , 0.029900273397014576   , 0.5837572901763506 , 0.07484373664147048
02b-formaldehyde      ,           4,      12, -9353.91652797537  , "0.0008689069,-0.0010056457,0.0002930384;-0.0017099659,0.0010388766,-0.0005586382;0.0002982246,-0.0002694917,0.0002762484;-0.0001435369,-0.0001890210,0.0000355980;-0.0002162109,-0.0012155242,0.0001002670;-0.0010071020,0.0012165752,-0.0002010290;0.0005197997,-0.0002797979,-0.0004881138;0.0009111559,0.0000871735,0.0008062129;-0.0005515242,0.0003677605,-0.0004286523;0.0006324143,-0.0022361283,-0.0001875091;0.0001269745,0.0012840528,0.0000342668;0.0002708642,0.0012011705,0.0003183110"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,    0.0228534927,    0.0171731183,    0.0111662952,      0.5469203457, -0.0293759216    , -0.0389325276    ,      0.532267343 , -0.0378543161    ,      0.5630122988, 0.0023313895606457942 , -9348.248999698868 , "0.0360314738,-0.0160679689,0.0021683831;0.0298105625,0.0126542011,-0.0124636607;-0.0317299707,-0.0384770582,0.0453237865;-0.0308385021,0.0437084645,-0.0142913397;0.0021507490,0.0269047316,-0.0457956409;0.0186322807,0.0082346435,-0.0276404423;-0.0574452646,-0.0343287506,0.0049251521;0.0369756351,-0.0197636726,0.0433670282;-0.0230595440,-0.0030992026,0.0274496702;-0.0388576136,-0.0169382195,0.0099619545;0.0213565796,-0.0336658673,-0.0426544310;0.0369736144,0.0708386990,0.0096495401"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , -0.15755669963796032  , -0.09491795805353204  , 0.2018503462692688    , 0.5472709860737963 , -0.021694664504379613  , -0.04232724007032692  , 0.5203028343249281 , -0.03750227185905683   , 0.5512250339477536 , 0.08048778204681767
02c-formaldehyde      ,           5,      12, -9353.91664745379  , "-0.0003635997,-0.0002949709,-0.0000698076;-0.0002089594,-0.0009403384,-0.0004394512;0.0004146866,0.0000065369,0.0002828603;-0.0001092383,0.0004573484,-0.0001042917;0.0008049977,-0.0003184277,0.0008784127;-0.0011424242,0.0015101055,-0.0007549924;-0.0000527020,-0.0000970312,-0.0000319538;0.0004858769,-0.0002566666,-0.0000328274;0.0007391417,-0.0000930672,-0.0001857139;-0.0002476026,0.0002918682,-0.0005477157;-0.0005753115,0.0001433829,0.0005659834;0.0002551350,-0.0004087403,0.0004394970"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,    0.0228707728,    0.0171806133,    0.0111758722,      0.4962785635, 0.0230332002     , 0.0308514543     ,      0.5757471104, -0.0252424373    ,      0.5700630914, 0.0020385203452341727 , -9348.24897252574  , "-0.0164909867,-0.0497992018,0.0163301136;0.0058717860,-0.0223931052,0.0251645914;0.0471851998,0.0361647963,0.0017010326;-0.0541724921,0.0373356073,-0.0177032817;-0.0062394296,0.0210542795,-0.0292117002;-0.0304064392,0.0229578599,-0.0189738717;0.0508233145,-0.0567622355,-0.0223260247;-0.0114812293,0.0025270169,0.0575123491;0.0269873640,0.0092724376,0.0257408277;0.0211093059,-0.0202242512,0.0183388079;-0.0223901686,-0.0400556265,-0.0294546790;-0.0107962246,0.0599224227,-0.0271181652"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , -0.051749771071474285 , 0.2038504777485311    , -0.17684407334727975  , 0.4931584174625111 , 0.015259651909185998   , 0.034771312425843054  , 0.5656537503860252 , -0.03028866416546304   , 0.5599023845915357 , 0.07939403034682008
03a-methanol_ethyne   ,           6,      18, -9453.61124987854  , "-0.0002447483,0.0003548276,-0.0005952019;0.0003325709,-0.0004829139,0.0008526697;-0.0000159779,0.0002242170,-0.0004329654;0.0000310031,-0.0000849879,-0.0000251754;0.0000576742,-0.0001032760,-0.0000191592;0.0000302437,-0.0001433258,-0.0000030577;-0.0001349488,0.0000635434,-0.0000582067;0.0001998230,-0.0003449757,0.0002327880;-0.0000586376,0.0002100318,-0.0000556101;-0.0000341788,-0.0000186039,0.0000467493;-0.0000104004,-0.0000452787,0.0001126563;0.0000181318,-0.0000573708,0.0000256561;-0.0000563304,0.0007584599,-0.0003778450;-0.0000274225,-0.0001412359,0.0000283069;0.0000461847,-0.0005076831,0.0000145668;-0.0000882713,0.0001193987,0.0001308473;-0.0000031144,0.0001036965,0.0000773643;-0.0000416006,0.0000954774,0.0000456184"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,    0.0151650839,    0.0126417685,    0.0075580791,      0.6767847724, -0.0111181457    , 0.0082099822     ,      0.7081775269, -0.034000326     ,      0.605007979 , 0.0010348211708493937 , -9447.074060363151 , "-0.1557836044,-0.0688301866,0.0095537575;0.1642507303,0.0722301588,-0.0212355856;0.0015502127,0.0330337988,-0.0361157350;0.0334281760,-0.0403702490,-0.0124098293;-0.0499552213,-0.0216869176,0.0057859796;0.0158834589,0.0223754891,0.0516252182;-0.0620206300,0.1531185797,0.0460302856;0.0569486650,-0.1548442594,-0.0405562764;0.0163321910,-0.0257951412,0.0403640650;0.0373272636,0.0116783189,-0.0433966905;-0.0194508263,0.0451522862,0.0155409042;-0.0396096257,-0.0296481398,-0.0186307124;-0.1515048007,0.0103498131,0.0868682230;0.1494177934,-0.0125133694,-0.0860374557;0.0242017967,-0.0536352586,-0.0140927814;0.0363021516,0.0224756414,0.0358692054;-0.0578181255,0.0062000069,0.0313895238;0.0005003946,0.0307094288,-0.0505520959"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 0.6356241438802613    , 0.049146911099995916  , -0.21115729082945886  , 0.674020330612235  , -0.010764501236873733  , 0.008105182161030974  , 0.7060218130787579 , -0.033825170510801535  , 0.6034913914339562 , 0.18068328185969784
03b-methanol_ethyne   ,           7,      16, -8408.149222883694 , "0.0001883064,-0.0000925259,-0.0004309976;-0.0004747531,-0.0001022917,0.0012418656;0.0002863695,0.0004822119,-0.0005405562;-0.0000699643,-0.0000905971,0.0001156531;-0.0000627823,-0.0000547516,0.0000684494;-0.0000579478,-0.0001137258,0.0001036117;0.0004804216,-0.0003057418,-0.0008658263;-0.0002399448,0.0002665134,0.0001674375;0.0002931775,-0.0001318212,0.0001068822;-0.0001391942,-0.0000358642,-0.0000027492;-0.0001536237,0.0001676041,0.0000256616;-0.0000376851,0.0000551602,0.0000137406;-0.0001759000,0.0000416091,0.0000043358;0.0001583735,-0.0000055494,0.0000063186;-0.0000823242,-0.0000829184,-0.0000462606;0.0000874711,0.0000026881,0.0000324341"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,    0.0162185473,    0.0117259216,    0.0074460706,      0.6861284008, 0.0232250862     , -0.0475547284    ,      0.6194575643, -0.050470559     ,      0.7397538691, 0.0013334482615804258 , -8402.131127237659 , "-0.1406825348,-0.0772604680,-0.0662191823;0.1377376420,0.0779037632,0.0690812301;0.0359361880,0.0184170661,-0.0473604285;0.0210049818,-0.0432385668,0.0392090686;-0.0390058700,-0.0229187939,-0.0237401226;-0.0214653459,0.0477674495,0.0247855355;-0.0850956260,-0.1174626975,0.1011018911;0.0835376983,0.1183170766,-0.1043739543;-0.0177002949,0.0565427844,-0.0055985703;-0.0028165103,-0.0238526189,-0.0553457872;-0.0262353158,-0.0423828510,0.0431233154;0.0537511745,0.0030715002,0.0142193821;-0.0051029795,-0.0051616615,0.0088550696;-0.0171781909,-0.0261587909,0.0402824905;-0.0002199632,-0.0053637738,0.0099135187;0.0235349468,0.0417805822,-0.0479334564"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , 0.5004207871703006    , 0.0022771027054711117 , 0.11590248472263034   , 0.6897643630088323 , 0.023768261553214026   , -0.04489869191969736  , 0.623167935872339  , -0.05111230301270229   , 0.7411569647049469 , 0.17852562835374172
03c-methanol_ethyne   ,           8,      16, -8408.295033000719 , "0.0000495430,0.0002576041,0.0000306793;-0.0000492267,0.0000160824,-0.0000110545;-0.0000029568,-0.0010855748,-0.0000095494;0.0001310876,0.0002844720,0.0000304505;-0.0001007289,0.0001872768,-0.0000275622;-0.0001038041,0.0002931008,-0.0000935585;0.0003912602,0.0000503375,-0.0000645913;-0.0000767102,-0.0001348989,0.0001027427;-0.0002099668,0.0000624722,-0.0000926833;-0.0000415426,-0.0000266759,0.0001330868;0.0000402111,0.0001250862,-0.0000427643;-0.0000245773,-0.0000647382,0.0000080493;-0.0001368634,-0.0002095275,-0.0001830098;0.0000691435,0.0000968086,0.0000714929;0.0000881849,0.0001443451,0.0000969206;-0.0000230531,0.0000038295,0.0000513519"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,    0.0192311194,    0.0111704591,    0.0075822297,      0.6217846764, -0.0644701736    , 0.0209998605     ,      0.701787497 , -0.0739686778    ,      0.7403078023, 0.0010856208270393674 , -8402.276468242399 , "0.0323470046,-0.0023984082,-0.1742194529;-0.0222899839,0.0036271819,0.1730414813;0.0173029673,0.0460908427,0.0198902320;0.0350870757,-0.0359035054,0.0192894062;0.0067930509,0.0008616318,-0.0552435614;-0.0592497696,-0.0182164428,0.0113273147;-0.1552297839,0.0887996691,-0.0015867373;0.1558443687,-0.0776742162,-0.0035300420;0.0000922818,-0.0460764148,0.0295865235;0.0343774528,0.0352167545,0.0181768085;-0.0455353855,0.0205990812,0.0019696521;0.0104536471,-0.0127890122,-0.0517904782;0.0069621385,-0.0103805135,0.0117447449;0.0241050755,-0.0284584492,0.0423919293;-0.0086752137,-0.0015427840,0.0036007157;-0.0323849264,0.0382445850,-0.0446485363"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , 0.17347698117970295   , -0.21316383348331436  , 0.05087096159701096   , 0.6205795914511685 , -0.06460374269530189   , 0.022554279809113953  , 0.7034543347578535 , -0.07272686937988111   , 0.7365949480095515 , 0.17884122786197196
04a-acetonitrile      ,           9,      18, -10845.403180951143, "0.0003770279,0.0015102047,-0.0000294362;-0.0007469705,-0.0014131828,0.0007736088;-0.0004010970,-0.0003027832,-0.0005252003;0.0002925273,-0.0004460634,0.0002231922;-0.0006668049,-0.0004194282,0.0001521882;0.0006206448,0.0001705515,-0.0000742756;0.0022929830,-0.0012121404,0.0035908558;0.0004588852,0.0001861998,0.0010266715;-0.0010429626,0.0001079245,-0.0013481242;-0.0016044777,0.0028072078,-0.0021173672;-0.0006987734,-0.0006509195,-0.0004845867;-0.0000185605,0.0003872613,-0.0009220441;-0.0009775495,0.0014654479,0.0028713300;0.0005682188,-0.0004375733,-0.0017646462;0.0004848793,-0.0014894159,0.0014414339;0.0002432952,0.0000714930,-0.0001165880;0.0006459339,0.0002062328,-0.0024982769;0.0001728013,-0.0005410157,-0.0001987344"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,    0.0120361312,    0.0065520841,    0.0054802996,      0.8948842507, -0.0647036156    , 0.1101451693     ,      0.8039270955, -0.0522952644    ,      0.9583461683, 0.0044295937470601975 , -10837.59214234934 , "0.0143843498,-0.0375479601,0.0317510846;-0.0138253141,0.0358003306,-0.0565496038;0.0147508119,-0.0519696639,0.0619026519;0.0285658914,-0.0196817162,-0.0459694466;0.0206418813,0.0664030340,0.0122912732;-0.0637427398,-0.0034904381,-0.0175966811;-0.0352437829,0.0014229146,-0.0361740783;0.0233523963,0.0024772064,0.0469399728;-0.0339725569,-0.0006462729,-0.0525736621;0.0393617357,0.0571904920,-0.0019287616;-0.0355240522,0.0066349837,0.0420482401;0.0283009759,-0.0616873747,0.0120907273;-0.0225830646,0.0439265253,-0.0183868551;0.0372829480,-0.0390299213,0.0240609100;-0.0338047804,0.0479466600,-0.0249125462;0.0117875238,0.0128330711,0.0530786660;-0.0296745902,-0.0581022032,-0.0019377402;0.0499423668,-0.0024796675,-0.0281341509"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , 0.7244214776296936    , -0.09506278414689676  , 0.37469313856352926   , 0.9022272244617485 , -0.06252092363193683   , 0.11032537755720079   , 0.8127133055875008 , -0.05097899604923246   , 0.9587417014780656 , 0.08216063978312614
